informativeSNPs	Target
1	contig125560|ARRB2|11
1	contig125922|ST5|11
1	contig126035|ANKRD42|6
4	contig126048|PLK3|6
1	contig126104|PDCD2L|6
2	contig126646|CDR2|8
1	contig127479|RFC4|1
5	contig127578|C19orf40|6
4	contig127630|SH3D21|11
6	contig127645|MRPS35|6
4	contig130243|SUGT1|6
4	contig131018|NDUFAF6|3
3	contig131427|MID1|7
1	contig131436|MGRN1|6
2	contig131484|CELSR1|6
1	contig131501|PCOLCE|6
3	contig131512|SEMA5A|8
2	contig131536|CPZ|6
5	contig131550|TCAP|11
2	contig131571|ALOX15B|11
3	contig131591|C21orf33|6
2	contig131595|ALDH1A3|11
1	contig131687|LANCL2|6
2	contig131690|ARHGDIB|6
2	contig131708|SH3BGR|8
2	contig131711|E21A5|OPA
5	contig131718|PHGDH|6
3	contig131790|LDB3|6
4	contig131804|CLN5|11
10	contig131830|TMEM163|8
2	contig131858|ZCCHC17|8
3	contig131932|MRPL44|6
9	contig131960|CCDC59|11
2	contig131988|CINP|11
1	contig132082|ATP11A|3
7	contig132088|SCCPDH|6
4	contig132129|MRPL28|8
1	contig132144|BLNK|12
3	contig132155|MRM1|11
3	contig132227|PTPLA|8
8	contig132249|MRRF|6
1	contig132304|MRPL35|11
1	contig132369|ELMOD2|6
7	contig132885|SETD2|11
3	contig132893|ATXN2L|8
2	contig132933|YTHDC1|9
5	contig132965|RAD54B|11
1	contig132972|PXK|6
8	contig133029|PGM1|11
4	contig133074|XPA|6
2	contig133096|10-Mar|8
3	contig133107|SULT1A2|8
3	contig133120|COMMD8|11
5	contig133230|TCP1|8
10	contig133356|PAM16|8
1	contig133464|BLOC1S1|6
7	contig133636|ACBD7|6
6	contig133709|AP3D1|7
3	contig133764|PPP2R5D|11
1	contig133792|CCDC71|11
3	contig133803|RANBP10|6
3	contig133810|ZNF652|12
8	contig133820|MDFIC|6
7	contig133824|MTFR1|8
2	contig133829|FAM54B|11
5	contig133841|E12E1|OPA
8	contig133845|GPD1L|6
2	contig133863|SLC38A2|8
7	contig133869|PANX1|11
2	contig133878|MORC3|11
1	contig133881|ATP2A1|3
1	contig133887|ADARB1|11
4	contig133899|GTPBP1|6
4	contig133905|MPP5|6
2	contig133913|NIPAL3|11
1	contig133919|GLG1|5
5	contig133930|GLT25D1|6
1	contig133935|PTGS2|11
7	contig133947|E12G4|OPA
3	contig133955|ABAT|6
1	contig133960|PLOD2|8
7	contig133979|ZFYVE21|11
14	contig133984|TBCK|11
1	contig133990|RREB1|12
2	contig134001|PPP1R2|11
3	contig134010|PKP2|11
3	contig134025|C19orf6|11
5	contig134040|RRM1|3
2	contig134044|PNP|11
7	contig134051|CAMK2D|8
2	contig134059|SBDS|6
7	contig134063|GMPR|6
6	contig134085|PFKP|6
2	contig134124|TWIST2|11
2	contig134130|TDG|11
2	contig134133|ANKRD49|6
1	contig134166|PPP1R10|11
5	contig134178|ARL6IP5|11
8	contig134253|BSDC1|9
3	contig134272|CAV1|11
5	contig134298|GRHL1|6
4	contig134308|BCKDK|11
7	contig134313|TNFRSF1A|8
6	contig134338|PRADC1|11
2	contig134361|SENP8|8
2	contig134370|MBOAT7|8
3	contig134379|CCDC99|11
2	contig134398|SHROOM1|11
1	contig134406|BCAP31|6
2	contig134416|APOOL|11
1	contig134421|ARG2|11
5	contig134441|RIC3|11
7	contig134476|SH3D19|11
6	contig134483|CHURC1|6
1	contig134524|FAM190B|8
1	contig134531|SHMT2|8
3	contig134547|CPT1A|11
2	contig134554|DCAF4|6
2	contig134578|TGIF1|11
1	contig134643|USP28|7
5	contig134655|CADM3|12
2	contig134664|NAA35|6
1	contig134681|PACSIN2|7
1	contig134687|SAFB2|9
3	contig134712|UBXN4|6
5	contig134722|TMEM61|11
2	contig134746|HAGH|11
4	contig134752|RBM14|10
5	contig134764|CSNK1D|6
1	contig134789|PGAM1|6
2	contig134799|CAMK1|6
5	contig134808|ABCB8|6
2	contig134811|TMEM44|11
1	contig134826|GTPBP4|3
5	contig134853|HHATL|11
4	contig134859|IGHMBP2|9
5	contig134871|UXS1|6
3	contig134877|GCFC1|5
10	contig134927|JUP|6
5	contig134932|MND1|6
5	contig134945|EMC3|3
6	contig134986|TERF2IP|11
16	contig135004|ZSCAN20|12
4	contig135030|TFAP4|11
6	contig135069|DPF2|6
4	contig135127|C12orf49|8
3	contig135154|CXCR4|6
4	contig135165|ILF2|7
1	contig135171|MTA2|7
5	contig135201|UBE2V1|6
1	contig135219|BRD8|11
4	contig135327|IRF3|12
3	contig135333|INTS7|7
1	contig135437|FUT9|6
1	contig135441|CCNG2|6
4	contig135521|OLFML1|11
2	contig135541|JAM2|11
4	contig135547|STOML2|8
3	contig135605|SAAL1|6
1	contig135615|KRT24|11
3	contig135637|ARMC7|6
7	contig135705|KIAA1107|6
1	contig135711|GAMT|3
4	contig135738|SLC10A7|8
3	contig135777|ASZ1|11
3	contig135862|HDAC8|8
2	contig135904|MRPL11|6
4	contig135917|METRNL|6
3	contig135939|FBXO6|6
11	contig135958|MTFP1|6
1	contig135988|RBM43|11
3	contig135995|DOCK5|6
2	contig136011|SGTA|8
1	contig136027|ZNF277|11
3	contig136031|MTSS1|11
12	contig136176|ATPAF1|8
5	contig136194|C1QTNF3|8
1	contig136334|TTC37|8
1	contig136425|ANK2|6
2	contig136440|SLC25A19|6
2	contig136469|GOSR1|3
8	contig136606|MIS12|8
2	contig136620|MYL3|6
1	contig136659|CPVL|6
4	contig136707|MCC|6
5	contig13670|E6G8|OPA
5	contig136863|WDYHV1|11
2	contig136917|PTPLAD2|11
1	contig136931|CERKL|6
2	contig136953|PHPT1|6
5	contig137027|ALG14|8
3	contig137091|IL1RAP|11
9	contig137351|MSRA|11
4	contig137406|NOS1AP|8
9	contig137715|DPH1|6
7	contig138372|LOC285095|11
1	contig138515|POLR2K|8
2	contig138563|KIF18B|6
1	contig138773|PSMC5|8
1	contig138933|TIMM8A|11
2	contig139245|C19orf70|11
9	contig139356|HSPB11|9
2	contig139539|REXO2|6
2	contig139600|ITGA2|8
4	contig139605|BAX|11
11	contig139624|VCL|6
1	contig139641|MAPT|7
3	contig139653|PRKAR2A|8
9	contig139659|DYNLT3|8
5	contig139701|PTN|11
4	contig139710|KLHL31|11
1	contig139719|ACO2|6
4	contig139762|NCSTN|11
4	contig139770|TNFRSF1B|11
2	contig139776|FKBP9|6
1	contig139785|ZNF280D|11
2	contig139798|VPS18|6
2	contig139806|STAM2|11
5	contig139821|MATN1|11
6	contig139836|PDGFD|6
5	contig139848|OASL|11
1	contig139863|HIF3A|11
2	contig139871|CBL|2
4	contig139877|CKAP2L|11
3	contig139894|YIPF6|6
3	contig139917|SNX12|6
1	contig139923|ILF3|9
5	contig139941|RRP1B|9
4	contig139947|GGA1|2
3	contig139986|OTOP1|9
1	contig140008|ATP6V0D1|6
3	contig140025|VAMP3|6
1	contig140034|NDUFAF3|6
3	contig140044|SCYL2|11
1	contig140063|SOAT1|6
4	contig140067|MUSTN1|8
2	contig140085|NARS|3
3	contig140091|ARNTL|6
1	contig140097|MCAM|11
5	contig140104|COASY|6
2	contig140151|KCTD3|3
4	contig140152|E10C8|OPA
2	contig140163|LDLRAP1|7
1	contig140183|KDELR1|6
2	contig140241|CRMP1|6
3	contig140265|AQP1|11
1	contig140271|TCF4|8
7	contig140316|NEMF|11
2	contig140356|USP3|3
3	contig140424|SDCCAG3|11
1	contig140457|CXorf21|11
2	contig140508|TMEM233|6
1	contig140586|FYCO1|12
5	contig140618|TMOD4|6
2	contig140619|NFIC|11
14	contig140658|LRMP|11
2	contig140695|BCLAF1|11
2	contig140715|RPTOR|6
3	contig140753|SLC25A36|6
1	contig140760|CYB5R2|8
2	contig140763|ELOVL7|6
3	contig140778|NSUN3|8
4	contig140788|HBS1L|11
3	contig140793|RAB8A|6
3	contig140829|PSMD13|6
2	contig140841|HMOX2|6
7	contig140921|ZXDA|6
4	contig140925|EEF1E1|8
3	contig140934|PCBP3|3
1	contig140955|RWDD1|6
1	contig140970|CNOT4|6
1	contig140975|FAM13B|6
1	contig140997|RFX5|8
7	contig141027|BAIAP3|9
2	contig141124|IL1RAPL1|6
6	contig141180|ZDHHC4|8
5	contig141185|KCTD10|6
2	contig141203|CIR1|6
3	contig141226|KRT8|8
3	contig141285|GCSH|6
2	contig141291|AP2A1|6
3	contig141300|LARP7|7
7	contig141369|EIF2B3|8
4	contig141375|WDR37|6
2	contig141396|C1orf55|6
5	contig141453|CYB5RL|11
5	contig141459|BPNT1|3
1	contig141483|CHMP3|1
5	contig141495|RHBDD2|11
3	contig141513|DDX41|3
6	contig141537|EARS2|8
1	contig141617|CYP3A4|6
3	contig141621|PFDN4|6
8	contig141658|E14G7|OPA
1	contig141705|DUPD1|11
2	contig141711|ASNSD1|6
4	contig141828|CD164|11
2	contig141869|DYNC2LI1|3
1	contig141915|EXOSC5|9
1	contig141933|SRRD|6
3	contig141940|INTS5|11
1	contig141984|MRPL19|3
1	contig142006|LOC100506562|11
5	contig142024|PRR5|8
2	contig142077|RNASEH2A|8
4	contig142106|GLRX5|6
7	contig142182|NPL|11
7	contig142281|C1orf212|6
1	contig142398|GNL3|12
1	contig142787|FRA10AC1|8
2	contig142821|NOSIP|11
6	contig142869|TMPO|8
2	contig142989|PRG3|11
2	contig143013|GYG1|11
1	contig143859|RFC3|2
3	contig144279|SLC38A3|7
1	contig144284|SLC12A6|6
6	contig144290|AKAP12|12
2	contig144304|MBNL3|6
1	contig144315|SFSWAP|11
3	contig144319|MFAP3|11
4	contig144325|RPRD2|11
5	contig144329|PIAS4|11
1	contig144334|SPEG|8
2	contig144344|FAM49A|2
3	contig144357|MAP3K7|6
1	contig144380|DLGAP4|11
5	contig144386|CENPC1|8
12	contig144403|DNAJC30|8
1	contig144423|HBP1|8
4	contig144453|KIF4A|8
2	contig144460|RNF115|7
1	contig144469|STK19|8
2	contig144477|HN1L|6
3	contig144483|TMEM41B|6
3	contig144493|NUMB|8
1	contig144506|ENPP2|6
2	contig144510|DCAF6|2
5	contig144529|RAB9A|8
6	contig144538|NIP7|11
3	contig144549|LMCD1|6
1	contig144564|PPFIA1|6
1	contig144573|CCNT2|12
2	contig144595|TIAM1|8
4	contig144603|PPM1M|8
2	contig144617|ATG13|2
3	contig144650|PHTF2|6
1	contig144663|USP22|1
7	contig144672|MXRA7|8
1	contig144678|TBL1X|11
7	contig144685|E15E9|OPA
8	contig144715|NR2C1|11
1	contig144729|ARGLU1|6
1	contig144755|SVIL|3
2	contig144768|RFNG|6
3	contig144780|NCK2|6
1	contig144835|R3HCC1|11
4	contig144840|OTOF|6
4	contig144863|SIRT7|8
5	contig144878|LPCAT1|8
2	contig144904|SYNRG|12
2	contig144934|ACPL2|6
9	contig144938|KIAA0196|6
1	contig144943|STRADA|6
3	contig144950|APLP2|6
3	contig144954|PRR5-ARHGAP8|8
2	contig144988|CHD8|8
4	contig144993|SMARCE1|11
6	contig145018|NONO|8
3	contig145025|8-Mar|6
5	contig145029|GEMIN8|12
4	contig145058|FAM203A|6
2	contig145081|N4BP2L1|3
1	contig145093|PHKG2|11
1	contig145113|LRRTM1|8
4	contig145152|RHBDD3|6
5	contig145168|ANGPTL1|6
9	contig145178|C9orf156|9
2	contig145190|RNF145|11
10	contig145229|FGL1|6
7	contig145243|AKAP8|11
6	contig145253|MBNL1|6
1	contig145261|CSTF3|3
1	contig145264|FAM120C|6
4	contig145341|TMEM59L|11
3	contig145365|AASDHPPT|6
1	contig145383|TSEN34|11
8	contig145388|SLC12A9|11
1	contig145401|TBC1D17|11
1	contig145435|MAP2K4|7
1	contig145445|PMP22|8
1	contig145448|TRADD|11
2	contig145464|YPEL5|7
1	contig145468|EFHB|11
3	contig145474|STUB1|6
2	contig145560|ARPC5|6
8	contig145573|WDR25|11
5	contig145603|NMNAT1|11
4	contig145615|SESN3|8
1	contig145620|FBXO25|11
2	contig145648|LGALS8|6
5	contig145661|ANAPC11|8
5	contig145688|ADD2|11
1	contig145718|TRMT1L|11
1	contig145725|E14A6|OPA
5	contig145761|BTBD7|11
1	contig145771|CSPG5|11
2	contig145779|DENND5B|6
9	contig145810|TIMM17A|8
2	contig145817|GPR160|11
2	contig145863|HGFAC|11
4	contig145923|ISOC2|6
9	contig145938|ENOPH1|6
1	contig146024|PHF8|6
2	contig146029|MPPED1|3
5	contig146043|MVD|6
2	contig146075|ITGA11|6
2	contig146098|EIF4E|2
6	contig146385|SIGMAR1|11
1	contig146433|MAK16|6
4	contig146495|UBE2L3|6
6	contig146513|PEX13|8
2	contig146525|NEDD1|7
2	contig146555|GAS2|11
1	contig146585|ASCC1|2
3	contig146600|USP40|6
3	contig146635|C14orf28|6
2	contig146917|FAHD1|6
3	contig147178|ZNF154|11
2	contig147243|EIF5B|6
1	contig147273|XYLB|6
2	contig147645|CCDC13|6
1	contig147810|MTG1|12
5	contig147848|ATG14|6
3	contig147859|SPON2|6
15	contig148089|DUSP19|11
7	contig148382|SRD5A1|8
1	contig148398|ATG3|3
1	contig148535|CEP120|6
5	contig148589|C5orf15|11
5	contig148804|TIMM21|11
6	contig149090|IDH3A|3
4	contig149698|MTIF3|10
4	contig150048|CHRND|6
1	contig150098|FBXO48|6
3	contig150491|CCDC169|11
2	contig150698|SRD5A3|6
4	contig150849|ARSG|11
1	contig151951|MRPS11|6
5	contig152733|TMEM167A|6
4	contig154168|DRD4|6
2	contig155504|PLEC|11
6	contig155509|CNP|11
1	contig155514|DGCR2|3
2	contig155518|KIAA1967|11
5	contig155523|AGPAT2|8
1	contig155529|ZDHHC20|8
4	contig155534|ETNK1|8
7	contig155541|ASAP2|8
3	contig155544|BMPR2|6
4	contig155551|SPPL2A|11
2	contig155555|AEBP1|8
3	contig155560|TRPV6|11
1	contig155563|KTN1|8
1	contig155573|PCM1|9
2	contig155580|USP19|6
4	contig155586|MYOM2|11
1	contig155590|SLC44A2|6
2	contig155593|PBRM1|7
2	contig155598|CLIP1|6
1	contig155629|PAPOLG|8
1	contig155633|KDELC2|6
1	contig155641|RALGAPA1|6
4	contig155649|TRAPPC10|11
3	contig155660|GPR116|8
8	contig155687|TRPC1|6
2	contig155734|ABHD5|6
8	contig155760|SLC1A3|11
4	contig155768|GPC1|6
4	contig155785|NAPA|6
6	contig155788|N4BP1|9
3	contig155794|ARHGEF16|11
6	contig155798|TRAPPC11|3
8	contig155818|PARVA|6
5	contig155828|CDH1|11
3	contig155849|RPRD1B|6
5	contig155853|PRDM4|11
1	contig155859|ZNFX1|11
3	contig155888|SRL|11
4	contig155894|RANBP3L|6
2	contig155903|ADD3|8
12	contig155908|LOX|11
1	contig155955|POGZ|11
1	contig155960|GALK1|11
1	contig155978|ZMIZ1|8
1	contig155983|DOCK8|6
6	contig156033|NDRG3|8
3	contig156040|RB1CC1|10
5	contig156049|MAP1B|12
1	contig156059|SLC20A1|11
1	contig156071|USP5|1
4	contig156080|LENG8|8
3	contig156084|RNF216|11
4	contig156094|DAB2|11
3	contig156100|RABGAP1|6
2	contig156105|SPATA2|12
14	contig156119|ZNF438|11
6	contig156125|LHFPL3|8
2	contig156134|CNNM3|6
2	contig156146|CDV3|6
1	contig156149|LAMA4|11
6	contig156160|CDON|8
4	contig156205|KIAA1468|3
2	contig156209|SLC25A39|6
2	contig156243|ACSBG2|8
4	contig156300|REV1|11
5	contig156311|NCOR1|11
1	contig156328|VAV2|7
1	contig156334|PPAP2C|3
3	contig156338|SYNPO|11
1	contig156355|SOD3|8
6	contig156361|KIF20A|8
4	contig156365|RAB3GAP2|9
4	contig156373|MGEA5|6
4	contig156380|VNN1|11
3	contig156398|TBC1D22B|11
1	contig156423|RB1|11
1	contig156434|THRAP3|8
3	contig156463|PPP6R3|8
3	contig156474|CALCOCO2|12
6	contig156488|DAGLB|11
1	contig156495|EPS15L1|4
3	contig156509|CMAS|11
5	contig156518|TOM1|8
2	contig156525|JARID2|11
13	contig156541|DDX23|6
3	contig156574|CUEDC1|3
1	contig156583|ZNF598|11
8	contig156633|NBEAL2|5
3	contig156640|PRKCI|11
1	contig156654|RIOK3|6
4	contig156670|PDPK1|6
8	contig156680|NSMAF|11
9	contig156715|GCOM1|8
6	contig156739|SLC27A2|11
1	contig156748|NAA25|6
1	contig156775|VPS4A|12
6	contig156779|SEC11C|8
2	contig156783|PHIP|7
2	contig156811|NCF2|8
3	contig156828|ZNF821|8
1	contig156869|XPO1|6
2	contig156873|LPCAT4|11
1	contig156886|FAM48A|2
4	contig156908|TOR1AIP1|11
1	contig156931|DCP2|3
2	contig156948|H2AFY|6
4	contig157000|ALKBH8|11
1	contig157011|USP46|1
3	contig157023|AIMP2|11
6	contig157033|C2orf56|6
14	contig157063|RAB30|6
8	contig157080|PRSS16|11
1	contig157083|CSNK2A2|1
1	contig157114|KIFAP3|6
1	contig157130|MAL|8
1	contig157144|WIPF2|6
5	contig157173|MSL1|6
1	contig157183|NGLY1|11
1	contig157200|FBXL4|6
1	contig157203|CNN3|11
6	contig157229|ARHGEF3|6
2	contig157248|FUT8|6
4	contig157283|SETD6|11
7	contig157303|CLEC3B|6
1	contig157353|SRPR|11
2	contig157379|KLHL22|11
2	contig157403|INPP5B|6
1	contig157408|FBXW12|6
8	contig157470|HSP90AA1|11
1	contig157493|PREPL|8
2	contig157503|SDCBP2|11
1	contig157514|P2RY8|8
