"Target"	"AverageTargetDepthAcrossHSP"	"max100AverageTargetDepth"	"Length"
"44"	"contig101527|C12orf51|9"	8.99773834521738	9.940611281871	204
"46"	"contig101569|POLK|8"	9.25414841093618	9.84298742192018	354
"47"	"contig101614|SENP5|8"	9.92674906265875	12.1558920691178	356
"48"	"contig101632|PIGL|12"	12.6340389762677	15.7621237391702	438
"49"	"contig101654|POLA2|8"	7.51117998354909	7.62600474145346	182
"50"	"contig101661|E7C7|OPA"	9.7846111975021	11.92611032922	390
"51"	"contig101724|CDC16|2"	6.70495959668864	7.11302364416564	266
"52"	"contig101984|TMEM213|11"	4.46047409827767	5.49004346850273	267
"53"	"contig102182|PDLIM3|6"	5.30713400907556	5.93016283728655	186
"54"	"contig102193|PHB|6"	9.05262055797936	12.7039473839815	260
"57"	"contig102622|MRPL27|8"	5.74903430973697	6.657797214566	195
"59"	"contig1028088|E7G10|OPA"	12.7132984489071	14.816340147322	248
"61"	"contig102910|CMBL|8"	10.8673584274071	11.8483622502096	176
"63"	"contig102955|AGPHD1|8"	7.98325071845227	10.0883073183935	360
"64"	"contig1031606|ATP11C|9"	7.68510691351447	8.30068834166214	155
"65"	"contig103686|MED28|8"	4.73339306322854	5.28483767741164	193
"66"	"contig104432|NUPL1|8"	10.7091374367212	12.7753739730745	300
"70"	"contig104501|SPC24|11"	21.0952495496477	24.9377064855636	370
"71"	"contig104503|MRPL40|8"	11.1738519795932	13.5204190692056	297
"73"	"contig104602|HSD17B10|6"	9.68295257761735	12.6499700992353	335
"74"	"contig104657|PCMT1|12"	9.29339439528296	9.67637638094374	204
"75"	"contig104666|CISD1|8"	13.6398706537925	17.5705969287069	439
"76"	"contig104674|EIF4E2|1"	8.844763383453	9.49915755325855	153
"78"	"contig104751|NUB1|8"	5.16578260952465	5.77019640086873	187
"79"	"contig104873|ZDHHC3|7"	11.8162404608521	13.8870755766124	267
"81"	"contig104904|PTPRE|6"	5.25113056965111	5.74444744900182	293
"82"	"contig104915|SH3BP5|8"	4.43769729986183	5.18609859469109	257
"85"	"contig104959|SYTL5|6"	9.40701310996858	11.7971073976355	384
"86"	"contig104967|KHDRBS1|8"	4.55162306502305	6.43000370883698	264
"87"	"contig105042|PKIA|11"	4.21554084398572	5.30567749155182	249
"88"	"contig105098|CDH18|6"	7.87173162145668	9.78573270667527	315
"89"	"contig105172|EIF3M|2"	10.5336998505021	11.0854270749648	223
"90"	"contig105176|PTS|11"	17.99270110106	22.7012941760395	373
"91"	"contig105227|RNF220|6"	9.5764429042694	11.9343906694296	349
"92"	"contig105256|DCTN6|3"	11.7850501316643	11.9309055782633	193
"94"	"contig105584|XPO4|6"	15.5758516620855	18.0252855675493	361
"95"	"contig105591|XIRP2|12"	11.2914612819733	13.6470228338573	328
"96"	"contig105632|KPNA4|3"	17.2633065851199	19.881195871476	332
"97"	"contig105650|ACO1|6"	10.2442700173706	12.0948085905415	322
"98"	"contig105655|COPA|8"	8.61494838872109	9.86253264276273	259
"99"	"contig105776|C12orf43|9"	8.10589664998954	9.51787705218436	252
"100"	"contig105928|HSPE1|6"	15.5678183171865	16.6623487592053	166
"101"	"contig106313|VCAN|11"	5.1176120365668	6.32918676108509	316
"102"	"contig106323|KDM5A|11"	8.81050105505498	11.5848009101407	382
"103"	"contig106335|TMEM43|6"	4.50105054541696	5.72551045017691	313
"105"	"contig106371|FARSB|6"	5.03489550449972	7.26415921679527	384
"106"	"contig106384|TES|11"	6.78153418876859	7.99495778749873	224
"107"	"contig106393|OGT|6"	5.50275532218538	6.50945592583346	250
"108"	"contig106399|CHD6|11"	11.1036058514838	13.7670435696235	331
"109"	"contig106418|CEP170|6"	11.6253958557517	15.3851390086578	411
"110"	"contig106433|SLC7A1|7"	8.81029277244857	10.7641723233249	368
"111"	"contig106441|KPNB1|6"	10.7060246360453	12.2212837864971	241
"112"	"contig106456|MAPRE2|11"	5.38037380038732	6.03673261652364	186
"113"	"contig106464|DES|8"	4.42199702008035	5.56496844736836	291
"114"	"contig106487|RNF8|6"	11.3010025296448	14.5444004930404	380
"115"	"contig106521|CMKLR1|12"	12.8633497451352	15.9784231323787	357
"116"	"contig106537|MIER3|7"	8.08112427350802	8.66017950486465	298
"117"	"contig106545|MYO10|12"	11.0936826605586	14.2714771025035	417
"118"	"contig106553|SDF4|11"	8.28825876549121	10.8581157455996	303
"119"	"contig106569|MTMR14|11"	7.46493703198813	9.42236156494218	305
"120"	"contig106609|KITLG|11"	5.82302755163282	6.36502805704309	306
"121"	"contig106631|WDR45L|3"	11.0915329662555	12.3944869314189	220
"122"	"contig106641|TP53RK|6"	8.88927987506759	10.7319157739664	248
"123"	"contig106665|DNAJB6|6"	6.72767319076579	6.84232017389364	177
"124"	"contig106719|OGFOD2|8"	15.2822426094493	17.1317274302507	222
"126"	"contig106755|FAM18B1|4"	5.70300119491196	6.047880357788	221
"127"	"contig106762|FAM172A|8"	6.00164847837166	7.35061891134945	291
"128"	"contig106823|CCT5|6"	4.92039272296075	5.76585005907891	195
"131"	"contig106999|GNG11|6"	10.9616683190912	12.2621898534791	220
"134"	"contig107111|MEAF6|4"	9.86360677849819	10.1585011231362	204
"135"	"contig107147|C1orf123|8"	17.1857690108939	20.5990967399189	349
"137"	"contig107241|NDUFAF1|6"	5.1199054036297	6.14878216205577	240
"138"	"contig107255|RUNX1|6"	9.09840024679158	11.4803758623482	296
"139"	"contig107274|ASMTL|7"	13.4153459817755	16.5067364596045	263
"140"	"contig107295|TXNDC15|8"	10.1395758048704	12.3391338660293	335
"142"	"contig107407|C5orf51|11"	14.09424237089	17.669623118092	370
"143"	"contig107423|LYAR|11"	12.1893512021546	14.1254184501153	265
"144"	"contig107439|RSU1|8"	6.19209188309937	7.32213413077909	223
"146"	"contig107703|TIMM22|11"	11.2824107294094	19.3159640475716	335
"147"	"contig107727|MRPS18A|6"	7.04761006494959	9.62575638230909	309
"148"	"contig107818|TCEB1|8"	11.5330726645924	14.0076683693747	326
"149"	"contig108330|GOLM1|8"	7.11834180839232	8.54263952671182	295
"151"	"contig108351|ATF7IP|8"	4.71316918652697	7.18370761022564	415
"152"	"contig108369|MFSD6|8"	9.46955741862914	11.1965434988856	297
"153"	"contig108395|SEC31A|8"	4.7659404207769	5.32148240511618	265
"154"	"contig108400|LGALS3BP|11"	9.12922248476197	10.2875550380882	231
"156"	"contig108415|SMPDL3A|11"	12.0450978195478	14.2563053600164	398
"157"	"contig108434|VMP1|8"	8.9460081033782	11.2883275141571	312
"158"	"contig108439|INSR|6"	4.89018893401404	6.17360151525036	351
"160"	"contig108472|STAG2|3"	8.41706125872736	9.32081151039036	336
"161"	"contig108497|PPIG|8"	8.09448532318134	8.73862895686236	152
"162"	"contig108519|FXR1|3"	8.90695909260708	9.09890727238055	274
"165"	"contig108580|DLG1|11"	8.30605192761061	9.15522808994905	173
"166"	"contig108591|TOMM40L|6"	6.61211852364303	7.73961072090564	218
"168"	"contig108663|ARHGAP27|11"	9.19268632271115	11.1151322351542	292
"169"	"contig108718|GDAP1|8"	10.7252424844214	12.5588527853055	324
"170"	"contig108720|TMEM106B|6"	4.615024674035	5.39510911351334	285
"171"	"contig108752|ITM2B|8"	9.09407114976868	10.9093073829409	340
"173"	"contig109012|ING1|6"	14.2053775087767	16.6534614144267	390
"174"	"contig109060|CPA3|11"	14.4140179550058	17.0915723855114	318
"175"	"contig109066|SEC22A|11"	14.0770580295805	17.6138060102622	426
"176"	"contig109154|ATP5J|11"	19.0284602649426	22.633145434526	242
"177"	"contig109283|CCDC103|11"	10.0322902614362	12.5633942427342	290
"179"	"contig109369|SURF6|8"	7.91467216408417	9.43584041222673	364
"180"	"contig109394|BOD1|11"	7.09508451550735	7.30548103275982	211
"181"	"contig109523|ANKRD46|6"	4.36948541945012	5.4784588426563	308
"182"	"contig109576|DIP2A|6"	5.22986908181031	5.39861503146382	186
"183"	"contig109633|SNRPA1|6"	12.5346868728385	14.3914491218149	225
"184"	"contig109679|FAM120B|11"	11.5005277901346	13.2158235824542	314
"185"	"contig109779|EXOSC8|11"	22.3716194249103	26.1361163345438	231
"186"	"contig109834|SNRPB2|6"	11.5555189254595	12.9345625396627	204
"187"	"contig109879|C16orf87|11"	10.7769433918132	12.7938745617369	348
"188"	"contig109995|NUDT14|11"	7.63694449626388	9.09366603016309	296
"189"	"contig110057|DCUN1D5|1"	10.2222210839146	11.9767841437367	376
"190"	"contig110178|GPX4|8"	8.40718403450969	9.79962833049127	151
"191"	"contig110194|NDUFAF4|11"	8.56788570866399	9.51263856155612	204
"192"	"contig110641|TMEM60|8"	5.63307418797725	6.64937565011527	275
"195"	"contig110866|FABP6|8"	29.5008860124697	33.3379371788049	251
"196"	"contig111066|NDUFA12|6"	7.08446029897204	9.08597652501964	290
"197"	"contig111185|FBXO11|1"	7.1318997321071	7.42760630250055	216
"198"	"contig111232|POM121C|11"	9.93980506165635	11.0483088356447	202
"199"	"contig111242|DSP|12"	10.4926632387782	12.6020460423093	335
"200"	"contig111263|ERI3|8"	6.45943256966692	8.00415195329236	420
"202"	"contig111297|KATNB1|11"	13.2116489768396	16.0319437638349	363
"205"	"contig111343|MATR3|8"	7.20940274103649	9.237970371038	284
"206"	"contig111379|RAB32|11"	8.24233189393921	8.97556968254855	192
"208"	"contig111400|HNRNPR|6"	10.6607408873082	11.2839414384311	273
"209"	"contig111409|TBC1D25|12"	5.17838705994307	6.214655627396	236
"210"	"contig111425|STX12|6"	14.5288318717031	16.354342190676	382
"212"	"contig111506|PCSK9|9"	9.03495255317654	10.9862144414084	286
"213"	"contig111532|SMG6|6"	4.97027671566489	5.5586603193032	358
"214"	"contig111553|GABPB1|6"	10.5407897269704	11.5901177642822	186
"215"	"contig111705|ACTR1B|6"	7.82458224059765	9.58833415388273	338
"216"	"contig111711|C3orf23|6"	4.9417412461654	5.35036816775309	290
"217"	"contig111786|POLR2E|6"	7.50243366541244	8.59624902767636	171
"219"	"contig111815|UBA3|3"	7.9788157652112	9.047733237132	198
"220"	"contig111898|KIF13A|6"	7.5229161938306	7.93176461836418	309
"221"	"contig111919|ADAM12|11"	10.0491481818557	12.4013027456724	422
"222"	"contig112088|ARPC1A|2"	11.0798288244209	12.2455471428975	218
"224"	"contig112203|SERPINI1|11"	8.6696063654734	10.5743251222996	240
"225"	"contig112303|MRPL32|11"	8.53514064792186	9.85129430781891	245
"226"	"contig112519|LSMD1|11"	6.96588307915621	7.82093769535182	397
"227"	"contig112715|C1orf50|6"	17.6664583216762	20.4976573623131	422
"229"	"contig112912|NDUFS3|7"	6.88028060330114	7.46365220320419	167
"230"	"contig112998|OBFC1|11"	6.02855082012917	6.54886174294	153
"231"	"contig113004|TLL1|8"	34.7502704914238	37.8839136880142	287
"232"	"contig113018|C5orf63|6"	5.2275106810553	6.22839636725107	266
"236"	"contig113316|TNFAIP1|6"	5.31899538158351	6.23557547467237	194
"237"	"contig113339|ASAP1|3"	7.2600019635935	7.56839150934818	246
"239"	"contig113394|PNISR|11"	8.97547205103008	10.0981235200538	216
"241"	"contig113414|USP31|6"	5.21766623269018	6.15698904430818	224
"246"	"contig113511|ETS2|8"	5.89617626999561	6.07819348109945	383
"248"	"contig113570|ABCC5|7"	11.6518800339856	13.6632171857127	277
"249"	"contig113576|GSPT1|6"	10.4408820931149	11.7870642652496	225
"254"	"contig113738|SHC1|11"	7.35275231979845	10.3091696500794	295
"255"	"contig113757|ODC1|6"	6.8883967865798	7.24807902594509	218
"257"	"contig113819|PRRC2C|8"	4.3189694977071	5.09922117615291	256
"258"	"contig113829|CDC7|11"	6.33870389585123	7.36110565911146	230
"259"	"contig113833|TM7SF2|8"	4.45792524896793	5.34721257607218	271
"261"	"contig114043|FAM3C|5"	7.60744785852553	8.57121445634255	178
"263"	"contig114267|FAM109A|6"	4.32365682091201	5.37883321211873	268
"264"	"contig114302|ABCG2|6"	12.2719417569469	13.921758155952	263
"265"	"contig114330|C12orf4|8"	11.2774056914069	12.9542474984729	256
"266"	"contig114390|MINA|8"	12.9266312296516	14.0496955032886	267
"267"	"contig114409|TATDN1|11"	7.04091965200953	7.71797041950727	189
"268"	"contig114438|ST8SIA5|11"	37.1308694453703	46.8379867100616	348
"269"	"contig114467|ANKIB1|1"	5.22960575829213	5.39954231335327	207
"270"	"contig114779|GINS3|6"	4.74339777218799	5.85091101141782	324
"271"	"contig114898|MRPL14|6"	9.16725885804386	12.935776367846	388
"273"	"contig115128|NMRK1|11"	11.3226660008453	13.0793633305092	375
"274"	"contig115233|SGPP1|8"	12.253034964425	14.2518633228292	339
"276"	"contig117279|TJP1|11"	7.71670976607879	8.62839276864946	171
"277"	"contig117286|LAMB1|11"	5.73794656023568	6.71663150915036	238
"278"	"contig117293|CNOT6L|6"	7.6740803734106	8.67907320003036	223
"279"	"contig117307|WNK1|11"	8.20571859479636	10.3730506280284	379
"280"	"contig117313|EPN2|11"	6.54862530333734	7.85381175163909	325
"281"	"contig117322|SLC4A1|8"	8.36336199060568	11.3344529125189	362
"282"	"contig117335|CAB39L|6"	7.8284820936906	8.58612100737691	174
"283"	"contig117349|ANKHD1-EIF4EBP3|4"	4.67047171025388	5.45108548916854	219
"285"	"contig117368|PRKCA|8"	5.96368221892906	6.60192608918127	222
"286"	"contig117375|ABCC2|9"	12.1057459467723	13.9049014869391	243
"287"	"contig117396|HLTF|8"	13.2902801140602	14.3678189417036	181
"288"	"contig117411|ARID2|3"	13.0838997244804	14.6552293935991	261
"289"	"contig117429|PHF3|11"	12.6314001991407	15.4349254589258	406
"290"	"contig117450|ATP6V1H|8"	18.2183812716916	21.8300199607664	286
"291"	"contig117484|PPP1CB|11"	14.7474662211467	17.5855034439924	327
"293"	"contig117508|DDX18|11"	6.99857583077746	7.87386247224091	196
"294"	"contig117525|UVRAG|7"	11.7853939901375	14.5207822192093	415
"295"	"contig117544|LMBRD2|6"	13.8629982866411	16.2138035058258	298
"297"	"contig117571|E6C2|OPA"	21.8619447791627	30.7671826541169	419
"298"	"contig117589|RAVER2|11"	19.4040240594027	24.9045635121627	288
"299"	"contig117635|TECTB|8"	7.43747610689435	8.66549695245255	367
"302"	"contig117782|PSMD14|8"	11.9628549407762	14.3912107227371	409
"303"	"contig117795|PSME4|8"	10.82851253386	13.4119429480093	336
"304"	"contig117832|NAF1|11"	7.99028915551744	13.2169799554267	354
"305"	"contig117858|ABLIM2|6"	6.83616014851739	8.11950228181527	309
"306"	"contig117873|FARS2|8"	8.51877851670349	12.3897461060258	445
"308"	"contig117935|NYNRIN|12"	10.6683130603314	14.1872562405271	223
"309"	"contig117956|TOR4A|8"	6.89331864338659	8.32344436427517	236
"311"	"contig118076|CDKAL1|1"	6.1470235015426	6.35836221136364	226
"312"	"contig118146|CWF19L1|6"	5.55399514604674	6.43528325321746	332
"313"	"contig118160|ATG4C|3"	12.5378846571947	15.2949862148871	381
"314"	"contig118222|SCGN|11"	9.25148483952545	10.3203781899444	224
"316"	"contig118269|POLG2|11"	11.0199523171235	13.5183731561927	357
"317"	"contig118274|AIFM1|8"	5.32170980561818	5.50396803352651	191
"319"	"contig118516|FGF13|6"	10.737306357675	13.3707189892949	389
"320"	"contig118609|SELS|11"	26.0397155671838	31.8134658547496	326
"321"	"contig118642|C6orf70|8"	8.56505797317592	11.4117379500575	332
"322"	"contig118810|XPNPEP1|6"	14.0498276518639	17.2932437139871	426
"324"	"contig118943|CD247|6"	6.85445915990142	9.44665850586509	275
"325"	"contig119267|DDX42|6"	6.90277285671917	8.21095358159527	278
"327"	"contig119867|C11orf67|11"	7.66420125161238	9.58549805836636	371
"329"	"contig120620|NUDT7|11"	11.7063570838346	13.8333121097922	330
"330"	"contig120644|PFDN2|3"	6.05809909573348	6.25696890463146	212
"331"	"contig120917|NDUFA6|8"	6.56836504558382	8.18670150562	309
"332"	"contig121157|EEF1B2|7"	6.44747503793324	7.44677988201085	201
"333"	"contig121771|USMG5|11"	14.0850601121774	15.4556427118942	162
"334"	"contig122272|CPD|9"	6.86053589364047	7.84736802527241	287
"337"	"contig122300|VAT1|8"	11.620679941872	12.9060968692205	193
"338"	"contig122341|APC|11"	10.5076590888627	11.6479763539375	208
"339"	"contig122345|MLEC|6"	5.96256526819342	7.21162572560164	264
"341"	"contig122366|FAM102B|6"	8.99618418000888	10.45443831785	324
"342"	"contig122380|MTMR9|6"	5.96639148805486	6.64480335999491	298
"343"	"contig122412|ZNF259|11"	5.1559409564739	6.77195956737073	356
"344"	"contig122418|DNAJC5|6"	4.98587001872036	6.14957150272458	274
"345"	"contig122436|COL5A2|11"	7.5455682287466	9.41662923559145	302
"347"	"contig122452|DGCR8|6"	11.1213478790242	12.5881475284307	197
"348"	"contig122468|BROX|2"	4.01564726494238	5.89776104604127	313
"349"	"contig122492|PC|6"	7.039165954607	8.41677506193364	244
"350"	"contig122515|NOL8|11"	8.2768658519362	9.330457466838	285
"352"	"contig122541|CLCA2|11"	4.77208089834376	5.12479059602927	362
"355"	"contig122564|PRRC2B|11"	11.2993690018336	13.539888819946	308
"356"	"contig122570|CLEC2D|11"	5.46275533687066	6.12204371701455	287
"357"	"contig122599|TEX2|8"	5.97434807126996	7.14973138483491	204
"360"	"contig122744|SIPA1L1|9"	10.9500958125192	12.8600091088053	222
"361"	"contig122752|MMP13|6"	4.73340335402038	5.43591312664661	295
"363"	"contig122772|FUBP1|7"	8.51053986196142	9.14487241528582	224
"364"	"contig122779|ANKRD27|6"	13.8012121740672	16.145047797674	288
"365"	"contig122795|GALNT2|3"	6.50338573318754	6.99432492094018	325
"366"	"contig122807|DHX15|6"	10.3941319164261	11.3071166370976	187
"367"	"contig122814|ZMYM2|11"	4.73536120733878	5.15218221170382	283
"368"	"contig122842|CAPN8|11"	5.18833519662284	5.88851413088546	249
"369"	"contig122937|SLC25A46|11"	7.79971511941057	9.16677393855473	258
"371"	"contig122987|GAA|11"	10.3345030517116	11.8521487356604	279
"373"	"contig123031|PHTF1|11"	11.4334366936784	19.4684165910806	401
"374"	"contig123040|DLD|6"	21.4837239176815	25.9552764313187	212
"377"	"contig123152|TMUB2|11"	11.3835494500869	13.7739699601985	383
"378"	"contig123183|NAA40|6"	8.1875790006739	9.67929612100418	262
"379"	"contig123206|PTRH2|6"	9.13721058597951	12.0764545313062	418
"380"	"contig123256|GAS2L3|11"	11.4436383241601	14.0276652226064	344
"383"	"contig123339|RIPK2|6"	13.3193800150521	15.805140624688	305
"384"	"contig123346|BTBD9|11"	4.376777633455	5.05963008163164	199
"385"	"contig123353|USP16|6"	6.10249782644464	6.776341358478	189
"386"	"contig123376|CENPQ|12"	7.63309689542221	8.30602523477418	241
"387"	"contig123395|EFHC1|11"	8.96046189236824	10.301252575119	221
"388"	"contig123403|PDE8A|6"	14.792551155928	17.2058785770315	281
"389"	"contig123444|PSIP1|11"	10.5273990098221	10.6890637989302	211
"391"	"contig123458|EDEM2|11"	13.1072177092915	15.3869956186373	328
"394"	"contig123563|CCNL1|11"	17.0945094099998	24.2992947256948	439
"395"	"contig123710|TFAP2C|8"	7.82565640257245	9.11258384663055	227
"396"	"contig123730|SRSF5|6"	10.9540501491817	11.6716682457232	230
"397"	"contig123745|MED13|11"	11.1510548996299	12.5606424892544	208
"398"	"contig123776|MRPS16|8"	8.66899854814531	9.76420810106855	250
"399"	"contig123803|INF2|11"	5.06618092618379	5.64122856204182	323
"400"	"contig123808|SENP6|11"	10.8733884460266	11.4769695133775	299
"403"	"contig123893|HERC5|11"	6.77661354509091	7.41796220080073	393
"405"	"contig124088|DLG3|3"	8.08839650199843	8.958873216136	282
"406"	"contig124104|BET1|8"	8.19383701024111	9.63544311114364	281
"407"	"contig124110|MIDN|6"	14.0004979225754	20.3031847917277	248
"409"	"contig124124|PRR14L|11"	8.39332206555274	10.218644101468	277
"412"	"contig124161|CDC123|3"	8.38710685450535	9.56437382558311	239
"415"	"contig124343|TNNI3K|6"	4.99675774438687	5.655627026722	165
"416"	"contig124361|TMLHE|11"	7.28721061943813	9.58700919553036	343
"417"	"contig124369|COG5|6"	5.04463192763533	5.85654196721727	405
"418"	"contig124489|PTPN12|11"	13.2013313853516	15.1819998442495	319
"419"	"contig124505|DUS2L|6"	6.79128174241407	7.215621662578	358
"420"	"contig124518|MURC|6"	6.64978516800358	9.23941294435054	412
"421"	"contig124524|ICMT|11"	9.61054756852795	10.5154553662389	213
"422"	"contig124531|CEP55|11"	21.0357219476857	23.6197190661421	199
"423"	"contig124551|POLR1E|6"	8.71351987887218	9.13423356474	341
"424"	"contig124564|PDLIM7|6"	6.58450419974073	7.82944583311509	283
"425"	"contig124579|RPN2|5"	7.75982149527619	10.4157542041898	329
"426"	"contig124630|HGSNAT|11"	14.6536137429278	17.6926735791476	344
"427"	"contig124720|PSMB8|11"	13.7666061639349	18.6682876294915	345
"430"	"contig124978|SPATA5L1|9"	8.3187194291944	9.75962030977861	403
"431"	"contig125027|ANXA7|6"	6.29673971714293	6.39424330205291	356
"432"	"contig125111|HERPUD2|11"	13.3716268049139	14.9909702672918	215
"433"	"contig125176|SRSF1|11"	9.8621248433307	11.767709507614	278
"434"	"contig125201|BSG|6"	9.43542501465365	10.2299425969125	253
"435"	"contig125215|COMMD10|8"	5.27290925351224	5.73650596145018	156
"436"	"contig125314|ACOX3|7"	9.50178322158563	11.2209970124518	281
"438"	"contig125560|ARRB2|11"	8.83362654650521	11.7964376421365	379
"439"	"contig125922|ST5|11"	5.32626476773799	6.37996187022127	290
"440"	"contig126035|ANKRD42|6"	8.56580056165916	8.89540213294873	234
"441"	"contig126048|PLK3|6"	5.79901178021648	7.646396429382	315
"442"	"contig126104|PDCD2L|6"	9.34587449935472	10.5702180859918	202
"444"	"contig126646|CDR2|8"	9.22938081816042	10.2772712555185	313
"446"	"contig127578|C19orf40|6"	9.27127045369978	11.8406608812329	365
"448"	"contig127645|MRPS35|6"	6.40908760579775	7.49243965751709	234
"449"	"contig130243|SUGT1|6"	13.5114407427117	16.1529943546073	322
"450"	"contig131018|NDUFAF6|3"	5.29351410667018	6.35089591705218	217
"451"	"contig131427|MID1|7"	4.65980147196481	5.79810902767382	279
"453"	"contig131484|CELSR1|6"	5.07377975591551	6.47576516286127	323
"454"	"contig131501|PCOLCE|6"	6.68435459051302	7.02639298005418	264
"455"	"contig131512|SEMA5A|8"	12.7491298335447	14.56591397088	234
"460"	"contig131591|C21orf33|6"	8.7690299963174	9.90656086381145	246
"461"	"contig131595|ALDH1A3|11"	11.818689984427	13.9863040219704	341
"462"	"contig131599|VEZF1|6"	12.2985318560047	15.0531737096907	372
"465"	"contig131669|RCN2|4"	7.31573179092213	7.80374449126327	152
"466"	"contig131687|LANCL2|6"	7.53926315759965	8.82936222048457	352
"467"	"contig131708|SH3BGR|8"	6.70202497908921	8.42996910928145	295
"468"	"contig131711|E21A5|OPA"	8.71378390294607	10.5964394109907	385
"470"	"contig131769|CCDC104|8"	5.14653592457931	6.63902939022701	219
"471"	"contig131778|BCKDHB|6"	7.33630110135722	8.12886521577223	227
"472"	"contig131790|LDB3|6"	11.5939066452608	13.2395704137575	297
"473"	"contig131804|CLN5|11"	9.98662742587369	12.3675010500984	331
"474"	"contig131830|TMEM163|8"	9.02179292891396	10.2969796314329	364
"475"	"contig131858|ZCCHC17|8"	7.84287445312232	8.62345508814964	271
"477"	"contig131960|CCDC59|11"	12.8544583222502	16.5614565877905	406
"480"	"contig132082|ATP11A|3"	6.55961185608203	7.28429518603535	283
"481"	"contig132088|SCCPDH|6"	9.81886276551623	12.0307860159167	345
"482"	"contig132100|ERC1|11"	11.2570125063978	11.8485700944398	280
"483"	"contig132129|MRPL28|8"	13.0921274850092	15.8434720241171	392
"484"	"contig132144|BLNK|12"	9.15291049383799	9.79294648582273	237
"485"	"contig132155|MRM1|11"	4.47959074553051	5.81882052263691	320
"486"	"contig132227|PTPLA|8"	7.85452346695921	8.59165619900491	197
"487"	"contig132249|MRRF|6"	12.6348919834375	15.0611579318796	322
"488"	"contig132304|MRPL35|11"	11.6525279165463	12.1526020234186	330
"489"	"contig132369|ELMOD2|6"	6.56270032830011	7.28162336266527	170
"491"	"contig132885|SETD2|11"	7.44245609495042	8.75595094031782	257
"492"	"contig132893|ATXN2L|8"	10.432335333871	11.9822252904947	362
"493"	"contig132933|YTHDC1|9"	6.86160881745471	8.720965744168	348
"494"	"contig132965|RAD54B|11"	7.97069913256856	9.40061452894454	288
"497"	"contig133074|XPA|6"	6.80597448060129	8.44513408713782	282
"499"	"contig133107|SULT1A2|8"	13.2195468282478	16.0863543366564	288
"500"	"contig133120|COMMD8|11"	9.21050214927995	10.3784691700407	224
"501"	"contig133131|LMO3|6"	11.4013476854506	12.7461611767795	216
"503"	"contig133356|PAM16|8"	11.9688250690192	14.9652840431269	402
"505"	"contig133582|RPL35A|2"	9.16726763100716	10.9458801233691	193
"506"	"contig133636|ACBD7|6"	10.6728953579831	14.1811510833409	381
"507"	"contig133709|AP3D1|7"	11.0708322560573	13.1382933388282	310
"508"	"contig133714|MIB1|6"	8.22508127202684	9.03955253517873	187
"509"	"contig133755|PARP4|6"	5.11745523278721	5.53883275804636	313
