"Target"	"AverageTargetDepthAcrossHSP"	"max100AverageTargetDepth"	"Length"	"informativeSNPs"
"112"	"contig107295|TXNDC15|8"	10.1395758048704	12.3391338660293	335	5
"114"	"contig107407|C5orf51|11"	14.09424237089	17.669623118092	370	5
"115"	"contig107423|LYAR|11"	12.1893512021546	14.1254184501153	265	5
"116"	"contig107439|RSU1|8"	6.19209188309937	7.32213413077909	223	4
"118"	"contig107703|TIMM22|11"	11.2824107294094	19.3159640475716	335	7
"119"	"contig107727|MRPS18A|6"	7.04761006494959	9.62575638230909	309	6
"120"	"contig107818|TCEB1|8"	11.5330726645924	14.0076683693747	326	4
"121"	"contig108330|GOLM1|8"	7.11834180839232	8.54263952671182	295	6
"123"	"contig108351|ATF7IP|8"	4.71316918652697	7.18370761022564	415	4
"124"	"contig108395|SEC31A|8"	4.7659404207769	5.32148240511618	265	2
"125"	"contig108400|LGALS3BP|11"	9.12922248476197	10.2875550380882	231	3
"126"	"contig108415|SMPDL3A|11"	12.0450978195478	14.2563053600164	398	14
"127"	"contig108434|VMP1|8"	8.9460081033782	11.2883275141571	312	4
"128"	"contig108439|INSR|6"	4.89018893401404	6.17360151525036	351	3
"129"	"contig108472|STAG2|3"	8.41706125872736	9.32081151039036	336	2
"132"	"contig108591|TOMM40L|6"	6.61211852364303	7.73961072090564	218	4
"134"	"contig108663|ARHGAP27|11"	9.19268632271115	11.1151322351542	292	2
"135"	"contig108718|GDAP1|8"	10.7252424844214	12.5588527853055	324	3
"136"	"contig108752|ITM2B|8"	9.09407114976868	10.9093073829409	340	2
"138"	"contig109012|ING1|6"	14.2053775087767	16.6534614144267	390	1
"139"	"contig109060|CPA3|11"	14.4140179550058	17.0915723855114	318	2
"140"	"contig109066|SEC22A|11"	14.0770580295805	17.6138060102622	426	4
"141"	"contig109154|ATP5J|11"	19.0284602649426	22.633145434526	242	2
"142"	"contig109283|CCDC103|11"	10.0322902614362	12.5633942427342	290	5
"143"	"contig109369|SURF6|8"	7.91467216408417	9.43584041222673	364	2
"144"	"contig109394|BOD1|11"	7.09508451550735	7.30548103275982	211	1
"145"	"contig109523|ANKRD46|6"	4.36948541945012	5.4784588426563	308	1
"146"	"contig109576|DIP2A|6"	5.22986908181031	5.39861503146382	186	2
"147"	"contig109679|FAM120B|11"	11.5005277901346	13.2158235824542	314	1
"148"	"contig109834|SNRPB2|6"	11.5555189254595	12.9345625396627	204	8
"149"	"contig109879|C16orf87|11"	10.7769433918132	12.7938745617369	348	7
"150"	"contig109995|NUDT14|11"	7.63694449626388	9.09366603016309	296	4
"151"	"contig110057|DCUN1D5|1"	10.2222210839146	11.9767841437367	376	2
"152"	"contig110641|TMEM60|8"	5.63307418797725	6.64937565011527	275	1
"155"	"contig110866|FABP6|8"	29.5008860124697	33.3379371788049	251	5
"156"	"contig111066|NDUFA12|6"	7.08446029897204	9.08597652501964	290	5
"157"	"contig111185|FBXO11|1"	7.1318997321071	7.42760630250055	216	1
"158"	"contig111232|POM121C|11"	9.93980506165635	11.0483088356447	202	4
"159"	"contig111242|DSP|12"	10.4926632387782	12.6020460423093	335	1
"160"	"contig111263|ERI3|8"	6.45943256966692	8.00415195329236	420	3
"162"	"contig111297|KATNB1|11"	13.2116489768396	16.0319437638349	363	3
"165"	"contig111379|RAB32|11"	8.24233189393921	8.97556968254855	192	2
"167"	"contig111409|TBC1D25|12"	5.17838705994307	6.214655627396	236	2
"168"	"contig111506|PCSK9|9"	9.03495255317654	10.9862144414084	286	8
"169"	"contig111532|SMG6|6"	4.97027671566489	5.5586603193032	358	1
"170"	"contig111705|ACTR1B|6"	7.82458224059765	9.58833415388273	338	1
"171"	"contig111711|C3orf23|6"	4.9417412461654	5.35036816775309	290	2
"172"	"contig111786|POLR2E|6"	7.50243366541244	8.59624902767636	171	1
"174"	"contig111815|UBA3|3"	7.9788157652112	9.047733237132	198	2
"175"	"contig111919|ADAM12|11"	10.0491481818557	12.4013027456724	422	15
"176"	"contig112088|ARPC1A|2"	11.0798288244209	12.2455471428975	218	2
"178"	"contig112203|SERPINI1|11"	8.6696063654734	10.5743251222996	240	4
"179"	"contig112303|MRPL32|11"	8.53514064792186	9.85129430781891	245	2
"180"	"contig112519|LSMD1|11"	6.96588307915621	7.82093769535182	397	1
"181"	"contig112715|C1orf50|6"	17.6664583216762	20.4976573623131	422	9
"183"	"contig112912|NDUFS3|7"	6.88028060330114	7.46365220320419	167	3
"184"	"contig112998|OBFC1|11"	6.02855082012917	6.54886174294	153	2
"185"	"contig113004|TLL1|8"	34.7502704914238	37.8839136880142	287	1
"186"	"contig113018|C5orf63|6"	5.2275106810553	6.22839636725107	266	8
"188"	"contig113316|TNFAIP1|6"	5.31899538158351	6.23557547467237	194	3
"189"	"contig113339|ASAP1|3"	7.2600019635935	7.56839150934818	246	2
"191"	"contig113394|PNISR|11"	8.97547205103008	10.0981235200538	216	2
"193"	"contig113414|USP31|6"	5.21766623269018	6.15698904430818	224	5
"196"	"contig113511|ETS2|8"	5.89617626999561	6.07819348109945	383	1
"201"	"contig113738|SHC1|11"	7.35275231979845	10.3091696500794	295	2
"202"	"contig113757|ODC1|6"	6.8883967865798	7.24807902594509	218	1
"204"	"contig113819|PRRC2C|8"	4.3189694977071	5.09922117615291	256	2
"205"	"contig113829|CDC7|11"	6.33870389585123	7.36110565911146	230	5
"206"	"contig113833|TM7SF2|8"	4.45792524896793	5.34721257607218	271	5
"209"	"contig114302|ABCG2|6"	12.2719417569469	13.921758155952	263	5
"210"	"contig114330|C12orf4|8"	11.2774056914069	12.9542474984729	256	5
"211"	"contig114409|TATDN1|11"	7.04091965200953	7.71797041950727	189	4
"212"	"contig114779|GINS3|6"	4.74339777218799	5.85091101141782	324	1
"213"	"contig114898|MRPL14|6"	9.16725885804386	12.935776367846	388	9
"215"	"contig115128|NMRK1|11"	11.3226660008453	13.0793633305092	375	1
"217"	"contig117279|TJP1|11"	7.71670976607879	8.62839276864946	171	2
"218"	"contig117286|LAMB1|11"	5.73794656023568	6.71663150915036	238	1
"219"	"contig117307|WNK1|11"	8.20571859479636	10.3730506280284	379	3
"220"	"contig117313|EPN2|11"	6.54862530333734	7.85381175163909	325	4
"221"	"contig117322|SLC4A1|8"	8.36336199060568	11.3344529125189	362	3
"222"	"contig117349|ANKHD1-EIF4EBP3|4"	4.67047171025388	5.45108548916854	219	1
"224"	"contig117368|PRKCA|8"	5.96368221892906	6.60192608918127	222	2
"225"	"contig117375|ABCC2|9"	12.1057459467723	13.9049014869391	243	3
"226"	"contig117396|HLTF|8"	13.2902801140602	14.3678189417036	181	1
"227"	"contig117411|ARID2|3"	13.0838997244804	14.6552293935991	261	1
"228"	"contig117429|PHF3|11"	12.6314001991407	15.4349254589258	406	4
"229"	"contig117484|PPP1CB|11"	14.7474662211467	17.5855034439924	327	3
"231"	"contig117508|DDX18|11"	6.99857583077746	7.87386247224091	196	1
"232"	"contig117525|UVRAG|7"	11.7853939901375	14.5207822192093	415	3
"233"	"contig117544|LMBRD2|6"	13.8629982866411	16.2138035058258	298	11
"235"	"contig117571|E6C2|OPA"	21.8619447791627	30.7671826541169	419	1
"236"	"contig117589|RAVER2|11"	19.4040240594027	24.9045635121627	288	1
"237"	"contig117635|TECTB|8"	7.43747610689435	8.66549695245255	367	6
"239"	"contig117782|PSMD14|8"	11.9628549407762	14.3912107227371	409	7
"240"	"contig117795|PSME4|8"	10.82851253386	13.4119429480093	336	2
"241"	"contig117832|NAF1|11"	7.99028915551744	13.2169799554267	354	3
"242"	"contig117858|ABLIM2|6"	6.83616014851739	8.11950228181527	309	5
"243"	"contig117873|FARS2|8"	8.51877851670349	12.3897461060258	445	2
"244"	"contig117956|TOR4A|8"	6.89331864338659	8.32344436427517	236	6
"246"	"contig118076|CDKAL1|1"	6.1470235015426	6.35836221136364	226	2
"247"	"contig118146|CWF19L1|6"	5.55399514604674	6.43528325321746	332	2
"248"	"contig118160|ATG4C|3"	12.5378846571947	15.2949862148871	381	3
"249"	"contig118222|SCGN|11"	9.25148483952545	10.3203781899444	224	2
"251"	"contig118269|POLG2|11"	11.0199523171235	13.5183731561927	357	8
"252"	"contig118274|AIFM1|8"	5.32170980561818	5.50396803352651	191	1
"253"	"contig118516|FGF13|6"	10.737306357675	13.3707189892949	389	2
"254"	"contig118642|C6orf70|8"	8.56505797317592	11.4117379500575	332	2
"255"	"contig118810|XPNPEP1|6"	14.0498276518639	17.2932437139871	426	7
"257"	"contig118943|CD247|6"	6.85445915990142	9.44665850586509	275	5
"258"	"contig119267|DDX42|6"	6.90277285671917	8.21095358159527	278	2
"260"	"contig119867|C11orf67|11"	7.66420125161238	9.58549805836636	371	13
"262"	"contig120620|NUDT7|11"	11.7063570838346	13.8333121097922	330	3
"263"	"contig120644|PFDN2|3"	6.05809909573348	6.25696890463146	212	2
"264"	"contig120917|NDUFA6|8"	6.56836504558382	8.18670150562	309	7
"265"	"contig122272|CPD|9"	6.86053589364047	7.84736802527241	287	1
"268"	"contig122300|VAT1|8"	11.620679941872	12.9060968692205	193	4
"269"	"contig122341|APC|11"	10.5076590888627	11.6479763539375	208	3
"270"	"contig122345|MLEC|6"	5.96256526819342	7.21162572560164	264	5
"272"	"contig122366|FAM102B|6"	8.99618418000888	10.45443831785	324	7
"273"	"contig122412|ZNF259|11"	5.1559409564739	6.77195956737073	356	5
"274"	"contig122418|DNAJC5|6"	4.98587001872036	6.14957150272458	274	4
"275"	"contig122436|COL5A2|11"	7.5455682287466	9.41662923559145	302	2
"276"	"contig122452|DGCR8|6"	11.1213478790242	12.5881475284307	197	1
"277"	"contig122468|BROX|2"	4.01564726494238	5.89776104604127	313	6
"278"	"contig122492|PC|6"	7.039165954607	8.41677506193364	244	1
"279"	"contig122515|NOL8|11"	8.2768658519362	9.330457466838	285	10
"280"	"contig122541|CLCA2|11"	4.77208089834376	5.12479059602927	362	1
"283"	"contig122564|PRRC2B|11"	11.2993690018336	13.539888819946	308	5
"284"	"contig122599|TEX2|8"	5.97434807126996	7.14973138483491	204	1
"287"	"contig122744|SIPA1L1|9"	10.9500958125192	12.8600091088053	222	3
"288"	"contig122752|MMP13|6"	4.73340335402038	5.43591312664661	295	1
"290"	"contig122772|FUBP1|7"	8.51053986196142	9.14487241528582	224	1
"291"	"contig122779|ANKRD27|6"	13.8012121740672	16.145047797674	288	1
"292"	"contig122807|DHX15|6"	10.3941319164261	11.3071166370976	187	2
"293"	"contig122814|ZMYM2|11"	4.73536120733878	5.15218221170382	283	4
"294"	"contig122842|CAPN8|11"	5.18833519662284	5.88851413088546	249	6
"295"	"contig122937|SLC25A46|11"	7.79971511941057	9.16677393855473	258	1
"296"	"contig122987|GAA|11"	10.3345030517116	11.8521487356604	279	8
"298"	"contig123031|PHTF1|11"	11.4334366936784	19.4684165910806	401	6
"299"	"contig123040|DLD|6"	21.4837239176815	25.9552764313187	212	1
"301"	"contig123152|TMUB2|11"	11.3835494500869	13.7739699601985	383	9
"302"	"contig123183|NAA40|6"	8.1875790006739	9.67929612100418	262	4
"303"	"contig123206|PTRH2|6"	9.13721058597951	12.0764545313062	418	5
"304"	"contig123256|GAS2L3|11"	11.4436383241601	14.0276652226064	344	2
"306"	"contig123339|RIPK2|6"	13.3193800150521	15.805140624688	305	12
"307"	"contig123346|BTBD9|11"	4.376777633455	5.05963008163164	199	3
"308"	"contig123353|USP16|6"	6.10249782644464	6.776341358478	189	2
"309"	"contig123376|CENPQ|12"	7.63309689542221	8.30602523477418	241	6
"310"	"contig123395|EFHC1|11"	8.96046189236824	10.301252575119	221	1
"311"	"contig123403|PDE8A|6"	14.792551155928	17.2058785770315	281	5
"313"	"contig123458|EDEM2|11"	13.1072177092915	15.3869956186373	328	4
"316"	"contig123563|CCNL1|11"	17.0945094099998	24.2992947256948	439	3
"317"	"contig123710|TFAP2C|8"	7.82565640257245	9.11258384663055	227	4
"318"	"contig123745|MED13|11"	11.1510548996299	12.5606424892544	208	1
"319"	"contig123776|MRPS16|8"	8.66899854814531	9.76420810106855	250	2
"320"	"contig123803|INF2|11"	5.06618092618379	5.64122856204182	323	1
"322"	"contig123893|HERC5|11"	6.77661354509091	7.41796220080073	393	2
"324"	"contig124088|DLG3|3"	8.08839650199843	8.958873216136	282	1
"325"	"contig124104|BET1|8"	8.19383701024111	9.63544311114364	281	6
"326"	"contig124110|MIDN|6"	14.0004979225754	20.3031847917277	248	1
"328"	"contig124124|PRR14L|11"	8.39332206555274	10.218644101468	277	3
"331"	"contig124161|CDC123|3"	8.38710685450535	9.56437382558311	239	4
"333"	"contig124343|TNNI3K|6"	4.99675774438687	5.655627026722	165	4
"334"	"contig124361|TMLHE|11"	7.28721061943813	9.58700919553036	343	12
"335"	"contig124369|COG5|6"	5.04463192763533	5.85654196721727	405	1
"336"	"contig124489|PTPN12|11"	13.2013313853516	15.1819998442495	319	3
"337"	"contig124505|DUS2L|6"	6.79128174241407	7.215621662578	358	1
"338"	"contig124524|ICMT|11"	9.61054756852795	10.5154553662389	213	4
"339"	"contig124531|CEP55|11"	21.0357219476857	23.6197190661421	199	2
"340"	"contig124564|PDLIM7|6"	6.58450419974073	7.82944583311509	283	1
"341"	"contig124579|RPN2|5"	7.75982149527619	10.4157542041898	329	4
"342"	"contig124630|HGSNAT|11"	14.6536137429278	17.6926735791476	344	7
"343"	"contig124720|PSMB8|11"	13.7666061639349	18.6682876294915	345	5
"346"	"contig124978|SPATA5L1|9"	8.3187194291944	9.75962030977861	403	3
"347"	"contig125111|HERPUD2|11"	13.3716268049139	14.9909702672918	215	1
"348"	"contig125176|SRSF1|11"	9.8621248433307	11.767709507614	278	7
"349"	"contig125201|BSG|6"	9.43542501465365	10.2299425969125	253	1
"350"	"contig125215|COMMD10|8"	5.27290925351224	5.73650596145018	156	2
"351"	"contig125314|ACOX3|7"	9.50178322158563	11.2209970124518	281	9
"352"	"contig125560|ARRB2|11"	8.83362654650521	11.7964376421365	379	1
"353"	"contig125922|ST5|11"	5.32626476773799	6.37996187022127	290	1
"354"	"contig126035|ANKRD42|6"	8.56580056165916	8.89540213294873	234	1
"355"	"contig126048|PLK3|6"	5.79901178021648	7.646396429382	315	4
"356"	"contig126104|PDCD2L|6"	9.34587449935472	10.5702180859918	202	1
"357"	"contig126646|CDR2|8"	9.22938081816042	10.2772712555185	313	2
"359"	"contig127578|C19orf40|6"	9.27127045369978	11.8406608812329	365	5
"361"	"contig127645|MRPS35|6"	6.40908760579775	7.49243965751709	234	6
"362"	"contig130243|SUGT1|6"	13.5114407427117	16.1529943546073	322	4
"363"	"contig131018|NDUFAF6|3"	5.29351410667018	6.35089591705218	217	4
"364"	"contig131427|MID1|7"	4.65980147196481	5.79810902767382	279	3
"366"	"contig131484|CELSR1|6"	5.07377975591551	6.47576516286127	323	2
"367"	"contig131501|PCOLCE|6"	6.68435459051302	7.02639298005418	264	1
"368"	"contig131512|SEMA5A|8"	12.7491298335447	14.56591397088	234	3
"372"	"contig131591|C21orf33|6"	8.7690299963174	9.90656086381145	246	3
"373"	"contig131595|ALDH1A3|11"	11.818689984427	13.9863040219704	341	2
"374"	"contig131687|LANCL2|6"	7.53926315759965	8.82936222048457	352	1
"375"	"contig131708|SH3BGR|8"	6.70202497908921	8.42996910928145	295	2
"376"	"contig131711|E21A5|OPA"	8.71378390294607	10.5964394109907	385	2
"378"	"contig131790|LDB3|6"	11.5939066452608	13.2395704137575	297	3
"379"	"contig131804|CLN5|11"	9.98662742587369	12.3675010500984	331	4
"380"	"contig131830|TMEM163|8"	9.02179292891396	10.2969796314329	364	10
"381"	"contig131858|ZCCHC17|8"	7.84287445312232	8.62345508814964	271	2
"383"	"contig131960|CCDC59|11"	12.8544583222502	16.5614565877905	406	9
"385"	"contig132082|ATP11A|3"	6.55961185608203	7.28429518603535	283	1
"386"	"contig132088|SCCPDH|6"	9.81886276551623	12.0307860159167	345	7
"387"	"contig132129|MRPL28|8"	13.0921274850092	15.8434720241171	392	4
"388"	"contig132144|BLNK|12"	9.15291049383799	9.79294648582273	237	1
"389"	"contig132155|MRM1|11"	4.47959074553051	5.81882052263691	320	3
"390"	"contig132227|PTPLA|8"	7.85452346695921	8.59165619900491	197	3
"391"	"contig132249|MRRF|6"	12.6348919834375	15.0611579318796	322	8
"392"	"contig132304|MRPL35|11"	11.6525279165463	12.1526020234186	330	1
"393"	"contig132369|ELMOD2|6"	6.56270032830011	7.28162336266527	170	1
"394"	"contig132885|SETD2|11"	7.44245609495042	8.75595094031782	257	7
"395"	"contig132893|ATXN2L|8"	10.432335333871	11.9822252904947	362	3
"396"	"contig132933|YTHDC1|9"	6.86160881745471	8.720965744168	348	2
"397"	"contig132965|RAD54B|11"	7.97069913256856	9.40061452894454	288	5
"400"	"contig133074|XPA|6"	6.80597448060129	8.44513408713782	282	4
"402"	"contig133107|SULT1A2|8"	13.2195468282478	16.0863543366564	288	3
"403"	"contig133120|COMMD8|11"	9.21050214927995	10.3784691700407	224	3
"405"	"contig133356|PAM16|8"	11.9688250690192	14.9652840431269	402	10
"407"	"contig133636|ACBD7|6"	10.6728953579831	14.1811510833409	381	7
"408"	"contig133709|AP3D1|7"	11.0708322560573	13.1382933388282	310	6
"409"	"contig133764|PPP2R5D|11"	5.07488882286119	5.7914983342379	197	3
"410"	"contig133792|CCDC71|11"	6.16874728619414	7.41734430808746	298	1
"411"	"contig133803|RANBP10|6"	7.49792374041927	9.13866135596691	207	3
"412"	"contig133810|ZNF652|12"	12.0059038387556	14.2767488722584	363	3
"414"	"contig133824|MTFR1|8"	12.0528236274314	13.925923661634	283	7
"415"	"contig133829|FAM54B|11"	9.24528932591033	11.2203186919836	278	2
"416"	"contig133841|E12E1|OPA"	12.9229105188471	15.8691979808107	380	5
"417"	"contig133845|GPD1L|6"	5.90685230742228	8.08487311849837	350	8
"418"	"contig133863|SLC38A2|8"	8.0263311361828	10.241601388762	298	2
"419"	"contig133869|PANX1|11"	12.610046267488	15.2992036556385	315	7
"420"	"contig133878|MORC3|11"	11.7216504431714	14.1725153712265	350	2
"422"	"contig133887|ADARB1|11"	5.96115941980727	6.59590931294164	180	1
"423"	"contig133899|GTPBP1|6"	8.68058939126405	10.1762261688945	242	4
"424"	"contig133905|MPP5|6"	10.6354405139873	11.7900250273604	364	4
"425"	"contig133913|NIPAL3|11"	4.95488919478783	6.28039976669927	352	2
"426"	"contig133919|GLG1|5"	6.66735184332188	6.86624837475091	324	1
"427"	"contig133930|GLT25D1|6"	8.77329880837495	10.849896346921	376	5
"428"	"contig133935|PTGS2|11"	12.2261435898236	14.6942156348302	283	1
"429"	"contig133947|E12G4|OPA"	11.796170157328	14.8500474773042	380	7
"431"	"contig133960|PLOD2|8"	8.74579491728612	9.372936277856	357	1
"432"	"contig133979|ZFYVE21|11"	6.89319199838883	8.93993729878946	377	7
"433"	"contig133984|TBCK|11"	7.88808264356231	9.500260502264	329	14
"435"	"contig134001|PPP1R2|11"	15.0606629132746	17.3521090216735	337	2
"436"	"contig134010|PKP2|11"	10.3441376609402	11.417772188444	183	3
"440"	"contig134051|CAMK2D|8"	5.67083316244288	6.64986762886236	254	7
"441"	"contig134059|SBDS|6"	13.7046279824745	15.4873448523605	276	2
"442"	"contig134063|GMPR|6"	11.4972724033451	13.9528633779375	378	7
"443"	"contig134085|PFKP|6"	12.3069549682362	13.9549711323505	254	6
"444"	"contig134124|TWIST2|11"	7.66228860040613	10.0136447892184	362	2
"445"	"contig134130|TDG|11"	12.8464224755176	14.2030293125677	270	2
"446"	"contig134133|ANKRD49|6"	5.24848521622104	6.15221348098509	249	2
"448"	"contig134178|ARL6IP5|11"	7.42132328175412	9.53025762164618	322	5
"449"	"contig134253|BSDC1|9"	6.13520395146625	7.50260169527018	309	8
"450"	"contig134272|CAV1|11"	8.19732273889493	10.7537405066111	377	3
"452"	"contig134308|BCKDK|11"	10.2494982959777	12.6700888367165	346	4
"453"	"contig134313|TNFRSF1A|8"	11.4189903980273	12.7961586420687	305	7
"454"	"contig134338|PRADC1|11"	8.76915987747266	10.4234925659689	278	6
"455"	"contig134361|SENP8|8"	5.95311060889897	7.25629972351437	257	2
"456"	"contig134370|MBOAT7|8"	7.10487790221333	9.12824789312746	362	2
"457"	"contig134379|CCDC99|11"	10.5922182101018	12.9191379483995	347	3
"458"	"contig134398|SHROOM1|11"	5.3879330511245	6.36783198666127	243	2
"459"	"contig134406|BCAP31|6"	4.98631665727244	5.16305999971455	253	1
"460"	"contig134416|APOOL|11"	7.15522737119818	8.15762524025509	225	2
"461"	"contig134421|ARG2|11"	18.3017394131031	20.4154058621587	259	1
"462"	"contig134441|RIC3|11"	12.946811837793	14.8012681065869	296	5
"463"	"contig134476|SH3D19|11"	5.18676882246986	6.306237420601	350	7
"464"	"contig134483|CHURC1|6"	15.3484065583838	24.4262672598567	364	6
"465"	"contig134524|FAM190B|8"	5.40963593511504	5.512107205842	192	1
