Target	Length
contig217515|SDF2|11	279
contig315849|PTAR1|11	384
contig346863|CCDC41|9	226
contig203282|POMT1|11	171
contig315682|CBFA2T2|6	374
contig217918|CCDC74A|11	214
contig117564|CACHD1|3	240
contig317718|PVRL3|11	274
contig188893|KERA|11	252
contig202578|UBXN2B|6	160
contig797352|MGLL|6	294
contig184431|A2LD1|6	279
contig117914|SLBP|11	303
contig76537|LSM3|11	175
contig144650|PHTF2|6	290
contig321522|PLXNA2|6	187
contig206953|PLEKHF2|6	410
contig396808|HSPB1|6	378
contig316128|ITM2A|6	366
contig98320|SLMAP|8	337
contig135995|DOCK5|6	319
contig142963|COX11|11	177
contig315578|BCL6|11	351
contig325157|BASP1|11	394
contig319127|BFAR|11	260
contig329689|RERGL|11	311
contig256054|NAV3|3	186
contig158586|BCO2|6	305
contig314494|MYCBP2|8	308
contig314398|OXSR1|8	287
contig58117|MDH2|1	296
contig413251|PCNX|6	234
contig319733|OCSTAMP|11	433
contig363635|SAMD15|11	216
contig333325|PEX7|6	360
contig315399|MYOZ2|9	301
contig315752|FAM198A|11	332
contig204640|CRKL|8	319
contig195763|IMPDH2|6	211
contig315889|GOPC|6	390
contig316750|ARHGAP17|11	296
contig321787|TUBE1|11	170
contig122772|FUBP1|7	224
contig202209|LMO7|10	263
contig315318|KIF11|9	298
contig160125|CAPS2|7	268
contig141453|CYB5RL|11	287
contig136668|ANKRD45|6	203
contig317962|TMEM64|6	259
contig314426|CHD7|11	230
contig92446|ATP6V0B|8	228
contig768940|CEP76|6	173
contig193481|C11orf68|11	262
contig316033|ACOX1|11	338
contig156380|VNN1|11	259
contig443744|BGLAP|8	302
contig314654|KPNA3|3	196
contig209616|KDSR|6	361
contig233184|CGNL1|6	304
contig134554|DCAF4|6	344
contig462353|ECHDC3|11	314
contig191813|FSD1|6	333
contig111815|UBA3|3	198
contig156258|CTAGE5|6	221
contig389969|RSAD1|6	231
contig315315|EPC2|6	396
contig159544|WDPCP|11	260
contig202152|DGCR14|6	378
contig141705|DUPD1|11	209
contig314330|TMEM161A|11	191
contig157421|FAM8A1|6	295
contig111392|ARHGAP26|3	258
contig203088|GMPPB|11	396
contig158493|ZDHHC13|8	331
contig131648|NFYC|11	328
contig327605|ATG2B|6	272
contig144399|COMTD1|11	265
contig100823|UGGT1|5	357
contig209046|ADSSL1|6	157
contig203607|WARS2|11	439
contig316197|ATG9A|6	287
contig317457|DENND1A|11	372
contig318798|OGDHL|11	246
contig316858|STX8|9	225
contig318201|DGAT2|6	226
contig131484|CELSR1|6	323
contig203692|LDLRAD1|8	226
contig315895|GPATCH3|6	350
contig314473|ARIH2|3	361
contig201354|ARID5B|11	309
contig160899|ATP9A|4	201
contig322406|PIGB|6	447
contig67637|C20orf3|6	434
contig316819|SENP3|11	303
contig84716|RPA2|6	432
contig495495|ASXL3|6	237
contig48151|RPL32|6	180
contig321396|DDA1|6	408
contig315936|EYA2|11	258
contig206412|GIGYF1|6	182
contig214900|CA2|11	207
contig203919|UBAP2L|11	304
contig185864|ADCY5|8	205
contig133714|MIB1|6	187
contig157861|WDR33|6	237
contig315649|HTRA2|8	255
contig167805|RGS10|6	288
contig328431|ARL10|11	361
contig314722|RAP2A|6	235
contig202317|CUX1|6	309
contig424543|S100Z|3	316
contig315831|NCAPD2|11	361
contig56281|NDUFB3|12	318
contig330381|GSG1|8	277
contig158893|SPAG1|6	306
contig80998|COL12A1|9	309
contig326691|FAM100A|11	385
contig324910|DOK4|6	340
contig183036|RAB4B|8	151
contig124893|BHMT|6	228
contig160001|EXOSC9|8	333
contig318218|GCNT1|8	315
contig326283|CDKN2C|11	204
contig183827|EMP2|8	222
contig203838|IDE|2	310
contig155544|BMPR2|6	332
contig415296|PTTG1|11	366
contig322332|SEZ6L2|11	201
contig206680|SRCAP|11	408
contig183272|KLF10|6	314
contig321228|C10orf137|6	261
contig144617|ATG13|2	339
contig317056|SAP30L|6	202
contig214365|SEC24B|11	387
contig189315|ACSL1|3	271
contig320830|SPTB|6	253
contig229010|C17orf67|8	321
contig320205|NHLRC2|11	224
contig314267|SCAMP2|7	243
contig146513|PEX13|8	260
contig205047|SBNO2|11	183
contig318570|C12orf23|11	284
contig90263|ERI1|8	312
contig71190|RBM25|6	247
contig203070|USP9X|11	299
contig88688|RRAS|12	431
contig346884|ZNF71|8	365
contig206518|DCBLD1|11	320
contig157200|FBXL4|6	315
contig314773|ARHGAP12|9	254
contig158826|CNOT8|6	191
contig330471|ZNF385B|8	267
contig120843|SLC25A5|11	271
contig315350|UCKL1|6	245
contig122366|FAM102B|6	324
contig228028|FGFBP1|8	441
contig722840|FBXL6|11	233
contig221451|DNAJB13|8	224
contig320591|ATXN10|11	290
contig315638|GTF3C1|11	309
contig217993|UBAC2|8	249
contig190321|PRTFDC1|11	352
contig322350|GFM2|6	328
contig191411|STK25|6	233
contig155785|NAPA|6	340
contig123808|SENP6|11	299
contig107415|CETN3|3	313
contig316720|SPOCK3|6	279
contig155888|SRL|11	162
contig894169|IGDCC3|8	212
contig156605|QRSL1|9	249
contig332484|WDR52|11	364
contig183985|MRPL46|8	229
contig189125|CHD3|11	163
contig320571|URI1|6	378
contig314632|EPAS1|8	329
contig456502|ABCC9|1	272
contig353060|CLDN20|6	262
contig320345|MED11|6	235
contig183155|C2orf42|8	222
contig122423|PPP1R13L|11	205
contig133984|TBCK|11	329
contig80756|INTS6|6	348
contig41120|LDHA|6	312
contig201649|TNRC6A|6	369
contig318123|SLC25A6|6	224
contig381816|FAM193B|8	258
contig189233|KRI1|7	378
contig136469|GOSR1|3	273
contig136440|SLC25A19|6	311
contig318113|CCND2|6	391
contig316135|GLTPD1|6	212
contig317579|ZNF167|11	305
contig314344|ZFP106|8	378
contig316425|ATL2|6	234
contig404523|SOCS3|11	286
contig202038|SRD5A2|6	270
contig317639|SETDB1|11	328
contig320256|RRP8|11	234
contig208801|TKTL2|11	239
contig328322|LINGO1|6	360
contig315257|PARP1|7	440
contig314263|C1orf198|11	342
contig145761|BTBD7|11	327
contig180968|CENPM|8	311
contig323955|OSR1|6	248
contig71066|KRT19|11	342
contig321922|CCDC96|8	219
contig108569|PACSIN3|5	318
contig207727|FBXW5|6	329
contig322234|FAM105A|8	291
contig741282|ZBTB47|8	330
contig221187|CEP44|6	212
contig320874|TMEM211|11	222
contig44319|SFPQ|8	400
contig707388|ZP3|8	274
contig316322|PIGU|6	281
contig315912|CASQ2|6	274
contig133899|GTPBP1|6	242
contig214650|NCAM2|4	243
contig189445|FERMT2|3	266
contig314621|DCK|6	333
contig201952|SMARCA5|6	328
contig320023|PTPN5|11	185
contig140841|HMOX2|6	317
contig328919|YSK4|12	260
contig141984|MRPL19|3	179
contig343126|FBF1|6	178
contig321544|BLK|11	304
contig315150|C16orf45|6	268
contig329668|PPME1|6	332
contig208903|LTN1|11	213
contig317474|AOC3|8	271
contig339463|ADAMTSL2|3	307
contig316726|CBLN2|6	269
contig146585|ASCC1|2	198
contig245689|IGSF9B|6	223
contig117396|HLTF|8	181
contig208972|FBXO18|8	331
contig191667|ECI1|11	349
contig324084|TFB1M|8	313
contig317950|GOT1|4	338
contig322929|FAM46C|6	289
contig322354|RRAD|6	273
contig322375|SNX30|6	242
contig317538|CCNG1|6	350
contig157659|DHX35|3	375
contig249624|AMOTL1|6	236
contig317188|HAUS4|11	269
contig136913|REG4|7	403
contig202989|PAQR5|6	203
contig44897|ASPH|11	374
contig319627|POLR3K|6	358
contig352755|PGAP3|6	200
contig373501|TBRG1|11	310
contig134014|YES1|9	285
contig349682|DACT2|11	342
contig134398|SHROOM1|11	243
contig325426|C1orf177|12	284
contig314876|LRRK2|11	239
contig652021|TIMP3|8	197
contig327300|LNX1|7	344
contig203360|PFKFB1|6	207
contig157384|MFN1|6	221
contig345969|PNO1|6	335
contig214483|NR1H3|11	237
contig323509|AAAS|10	265
contig324747|KIAA0825|11	201
contig404146|HAPLN1|11	299
contig328861|EWSR1|11	198
contig321942|UNKL|11	207
contig202486|MARVELD2|11	344
contig402655|TENC1|11	181
contig325645|RUVBL2|3	252
contig331411|TMED7|11	307
contig190139|EIF2B1|6	314
contig418937|NEURL|6	241
contig315903|CNOT3|11	221
contig144279|SLC38A3|7	345
contig139798|VPS18|6	384
contig96602|DLG5|8	167
contig472385|TEX11|11	163
contig320992|GAB1|11	199
contig320095|TSPAN7|11	404
contig111898|KIF13A|6	309
contig316182|TAT|11	365
contig206389|FERMT3|11	168
contig349855|SRGAP1|6	346
contig139871|CBL|2	223
contig213906|DNAL1|8	412
contig216582|PLEKHM1|11	357
contig83408|LARP4B|8	156
contig52191|RASAL1|8	424
contig318953|TBCE|11	321
contig135239|SYPL1|6	316
contig123493|GALE|8	378
contig314273|KLF3|11	309
contig211386|TSG101|6	239
contig421605|TMEM218|8	432
contig183433|PAK6|6	246
contig125560|ARRB2|11	379
contig96026|DZIP1|11	352
contig315777|HELLS|11	226
contig322672|SOSTDC1|6	410
contig325697|SUDS3|8	173
contig202498|ZNF185|11	257
contig366182|CRABP1|6	201
contig318701|CDC42EP3|6	248
contig316769|HSD17B4|6	315
contig183792|SSNA1|6	387
contig315252|ETF1|8	266
contig368458|TOMM22|8	326
contig314291|MAPK3|6	327
contig203275|CLIC3|9	447
contig322215|DHCR7|6	312
contig358888|SNRPC|1	319
contig508747|SYNDIG1|11	229
contig341506|SOCS1|6	188
contig314352|PDGFRA|11	335
contig205158|APLF|11	389
contig349014|ARC|10	160
contig402999|SULT2A1|7	378
contig314820|RBBP8|8	290
contig202332|HAPLN3|11	322
contig145243|AKAP8|11	246
contig204402|PWWP2A|6	265
contig18561|CLPTM1|11	239
contig108369|MFSD6|8	297
contig340627|TMEM143|11	196
contig156574|CUEDC1|3	290
contig352140|CCDC157|6	246
contig201603|GPR155|11	286
contig316089|TCF7L1|11	158
contig202950|CTBP1|11	323
contig162393|BEND6|8	190
contig132885|SETD2|11	257
contig314483|GDPD5|7	271
contig320277|PTGS1|11	365
contig183029|ZMYND8|11	255
contig207924|FSD1L|6	266
contig190084|TYW1|8	317
contig201621|C1orf9|11	234
contig206056|CYP2J2|12	361
contig332072|SLCO1A2|11	183
contig325032|GFER|9	311
contig80014|GLT8D2|6	331
contig314690|CLDN11|8	229
contig316937|SUCLG2|2	307
contig136606|MIS12|8	160
contig330257|PPP1R3C|11	291
contig314704|SPRYD7|6	265
contig312491|AKAP10|1	417
contig204141|EXOC5|8	376
contig750377|DNAH1|6	169
contig508323|ERBB3|11	200
contig189027|EDIL3|6	181
contig324637|TRMU|6	417
contig139624|VCL|6	380
contig469527|ADAMTS16|6	164
contig314870|NF1|8	227
contig348557|GNPDA2|6	181
contig394642|GSG1L|8	220
contig201936|MYH3|11	433
contig202878|INADL|6	234
contig52806|DHTKD1|3	442
contig205360|DRG1|3	309
contig117279|TJP1|11	171
contig186561|SMPX|8	372
contig144284|SLC12A6|6	431
contig212019|C6orf170|3	265
contig730300|TMEM245|3	204
contig630613|DEGS2|6	277
contig338048|NFX1|11	373
contig156263|RASA1|4	154
contig123893|HERC5|11	393
contig135904|MRPL11|6	347
contig333590|ASB13|5	360
contig957980|CABP7|1	253
contig323962|ASTL|8	305
contig208404|SERAC1|8	195
contig370335|TMEM117|6	247
contig191847|LYG2|6	247
contig98535|METTL21A|11	323
contig131687|LANCL2|6	352
contig209227|BAIAP2|8	241
contig93715|ABI3BP|10	242
contig323754|PQBP1|11	223
contig82978|STXBP2|11	165
contig85544|CTTN|8	278
contig84188|CCBL2|6	378
contig162153|MAPK12|8	361
contig317028|CLIP2|6	347
contig323292|NUP214|11	304
contig64692|PIGF|8	272
contig315639|RAD23B|6	277
contig316294|NDOR1|6	278
contig204510|HERC2|11	199
contig194469|VAMP1|11	155
contig94688|NPRL2|8	419
contig316629|ANGPTL7|6	324
contig208702|ORC3|7	309
contig190053|TMEM231|9	377
contig156209|SLC25A39|6	171
contig319375|FBLN2|11	285
contig326765|TMEM182|6	393
contig203832|CHID1|8	283
contig933405|G6PC|8	226
contig212941|ZNF330|11	400
contig317427|ACY1|7	241
contig432354|ZFYVE26|8	266
contig201972|ACTN1|8	159
contig215001|LRR1|11	298
contig316582|JOSD2|6	307
contig325698|PITPNA|6	244
contig84345|MTOR|3	412
contig318925|ARHGAP1|6	373
contig318769|ICA1|6	277
contig318743|ANKRD6|11	341
contig203368|SAP130|7	318
contig807962|GPC6|7	267
contig341555|NOS3|8	164
contig204813|MIPEP|2	345
contig190989|RAB34|6	322
contig326130|C6orf145|6	288
contig202086|FOXO1|6	265
contig322914|BYSL|6	273
contig314385|TAZ|11	329
contig208011|GLOD4|6	320
contig132144|BLNK|12	237
contig57422|TRA2B|6	167
contig201795|F10|8	241
contig135958|MTFP1|6	315
contig794726|TDRD6|11	360
contig65217|MRPL9|11	232
contig353194|IER3IP1|3	291
contig189111|AGPAT3|3	329
contig203199|PGPEP1|6	234
contig320091|NFRKB|11	305
contig315156|KIF2C|8	375
contig315002|LRRN1|8	335
contig321764|CA10|6	183
contig326194|CAPNS1|11	175
contig145598|PPOX|11	303
contig324152|AFMID|6	370
contig323088|IRF1|11	314
contig404583|SLC12A8|6	231
contig317948|C14orf38|12	281
contig160283|SRP72|3	379
contig90858|TP63|6	285
contig70765|FAM188A|6	360
contig190327|HM13|8	293
contig351315|PKD2|6	404
contig316525|PCBP4|6	244
contig202448|BRD4|12	245
contig134531|SHMT2|8	152
contig210793|NADSYN1|7	412
contig331015|UBE2E1|8	176
contig314311|B3GNT7|8	319
contig317881|ZHX1|8	317
contig686583|C2CD4C|8	245
contig111919|ADAM12|11	422
contig354592|HOXA4|11	250
contig317913|DIEXF|9	408
contig306174|SP110|11	162
contig123256|GAS2L3|11	344
contig322628|ITIH5|9	381
contig370768|THYN1|8	361
contig323840|SHROOM2|8	362
contig201744|LAD1|12	314
contig316408|EML5|11	298
contig321127|YWHAH|6	259
contig233011|UBE2F|5	258
contig376861|BMP5|6	377
contig203715|SP2|11	295
contig206148|FZD6|11	363
contig334286|ZFP36L2|8	406
contig365098|TMEM199|12	354
contig223594|RTN4IP1|4	414
contig212901|NR4A3|11	376
contig364838|KCNG3|6	373
contig122558|SULF2|6	260
contig315182|FAM83B|12	161
contig213807|FAM60A|3	367
contig315308|ATF5|12	275
contig222781|AMACR|6	342
contig146043|MVD|6	244
contig156828|ZNF821|8	284
contig91279|ENGASE|11	196
contig334239|CCDC113|11	224
contig123075|AIDA|6	170
contig217077|C1orf158|8	349
contig314762|F13A1|11	403
contig315389|NOC3L|11	265
contig98538|ALG11|11	188
contig325711|GPR107|4	265
contig189821|STARD10|11	343
contig156033|NDRG3|8	234
contig321497|CPOX|6	302
contig329789|PCGF3|6	221
contig317221|TGFB1|11	342
contig321154|RBBP7|2	210
contig355262|MSLN|11	445
contig211804|NSUN5|11	219
contig320339|PLEKHA5|11	328
contig189551|PPP4R2|11	304
contig315460|EFNB2|6	388
contig202495|EMC1|6	316
contig222201|KLF13|6	288
contig118810|XPNPEP1|6	426
contig315245|GRHL2|6	317
contig351737|RHBDF2|6	415
contig139245|C19orf70|11	326
contig397555|TSHB|11	322
contig25989|RIC8A|7	345
contig78965|ADAL|8	302
contig319068|PIGM|7	329
contig204597|PICK1|3	409
contig144678|TBL1X|11	369
contig392794|FAM196B|6	313
contig327155|CYB5D2|11	379
contig315750|BHLHE40|11	227
contig140508|TMEM233|6	221
contig314721|ZMYND11|11	240
contig317981|ART1|11	333
contig94333|IRF7|8	165
contig190739|PNPLA8|6	351
contig364358|SLC5A9|11	183
contig314689|FAM125A|11	341
contig133709|AP3D1|7	310
contig212907|SNAPC3|8	361
contig140632|GTSF1|8	252
contig427778|GSC2|11	239
contig444756|SPAG8|11	403
contig680265|C7orf43|11	160
contig322044|DOCK11|6	219
contig212148|RASSF4|11	433
contig339794|POLR2C|2	287
contig317490|ARL5A|6	335
contig204340|CNOT10|3	421
contig74869|LPXN|9	394
contig424841|ITGA9|8	350
contig315325|FRS2|6	315
contig314309|EEA1|7	269
contig214323|MRPS27|6	319
contig52869|RAB14|6	255
contig111280|TNC|6	304
contig208020|FBXO3|11	256
contig498847|HTR1F|6	351
contig210327|PFKFB3|6	214
contig38351|KIAA1109|7	397
contig133881|ATP2A1|3	335
contig141869|DYNC2LI1|3	335
contig52786|RNF213|8	383
contig323680|NXN|7	252
contig722171|SLC22A7|8	167
contig320650|RAB4A|6	231
contig315234|SLX1B|11	375
contig204220|TET2|9	197
contig110824|MIF|8	174
contig324527|STRN3|11	403
contig206568|SUPT6H|6	205
contig316527|C5AR1|11	247
contig314441|SMAD3|1	335
contig315687|TLR1|11	272
contig202593|MYBL2|3	393
contig122752|MMP13|6	295
contig202614|SMC4|6	331
contig319923|ACTR5|6	262
contig124137|LOXHD1|11	245
contig144938|KIAA0196|6	315
contig252463|C16orf7|8	431
contig315575|NHSL2|11	340
contig157745|P2RX4|7	242
contig317854|SMCR7L|6	418
contig315864|UBE2Q2|6	318
contig117495|PDXK|8	302
contig144930|KLF4|11	376
contig189351|ITGB4|7	393
contig317978|SLC35B4|7	339
contig209856|PLK2|7	371
contig206507|C17orf56|6	161
contig157650|ZIC1|8	333
contig359652|PNKD|6	223
contig322699|B3GAT3|6	252
contig271197|CCDC53|8	239
contig315712|GBA|9	371
contig318746|CR2|11	396
contig315078|KIT|11	280
contig135939|FBXO6|6	371
contig188815|ENDOD1|11	287
contig318471|LEMD2|11	352
contig189295|WDFY2|6	298
contig314279|DSG2|11	316
contig321663|ARHGEF26|8	419
contig322421|RRAS2|6	378
contig315683|LSP1|9	224
contig229911|C17orf59|8	434
contig81053|CUTC|8	316
contig329832|PLCH1|8	301
contig745642|HGF|11	169
contig214695|MTAP|6	398
contig189537|C3orf37|6	235
contig203776|USO1|11	297
contig195809|C10orf122|8	342
contig251748|FOPNL|8	224
contig391736|VPRBP|8	170
contig314587|CD109|11	384
contig144934|ACPL2|6	290
contig362029|EGFLAM|7	409
contig189607|SGK1|8	268
contig332976|LRP2BP|9	220
contig319002|RELL1|8	321
contig34331|SDC1|6	250
contig342632|SIAH2|11	251
contig849828|DLGAP2|6	394
contig767608|PCYOX1L|6	222
contig378039|PLCG2|7	207
contig156405|VPS13C|11	231
contig320878|AURKA|11	252
contig315431|ZNF180|11	247
contig132249|MRRF|6	322
contig203929|DENND5A|6	332
contig132088|SCCPDH|6	345
contig208938|TMEM63C|6	256
contig323183|AZI1|6	318
contig316208|PIGT|7	258
contig213772|MCPH1|7	320
contig343766|BCL2L11|8	208
contig334920|YEATS4|6	300
contig98457|POLR2B|2	248
contig887658|PDE9A|6	229
contig93572|GUK1|8	253
contig314769|CDC73|3	306
contig119267|DDX42|6	278
contig124343|TNNI3K|6	165
contig340496|UBE2J2|3	359
contig205878|MFAP2|6	258
contig79405|GAP43|8	323
contig214803|HDHD2|8	315
contig61961|CD63|8	388
contig106999|GNG11|6	220
contig318173|ABCB6|8	273
contig122345|MLEC|6	264
contig210274|FIBP|11	277
contig125215|COMMD10|8	156
contig332760|KIF9|8	212
contig134231|TMEM79|11	309
contig95021|ZMAT5|8	238
contig314461|ZNF585A|8	301
contig202483|MTHFD1|8	333
contig205144|DLC1|8	270
contig201864|GSTT1|8	323
contig201531|CELF2|5	195
contig209037|LIMD1|3	283
contig204804|TRAPPC12|1	231
contig332781|C16orf71|8	326
contig209293|ATHL1|8	312
contig90599|SMYD5|6	271
contig363244|NPSR1|8	168
contig321434|GTPBP8|11	273
contig207225|CCT8|3	335
contig228363|UCN3|11	210
contig203170|AGPAT5|6	222
contig316080|TNK2|11	279
contig448965|FOXA2|6	190
contig361284|FRRS1|6	383
contig342372|OSCP1|6	408
contig326960|RALGAPB|6	354
contig314557|LAMA1|11	323
contig205313|IDI1|6	350
contig317803|WDR44|6	367
contig162323|MLLT4|8	153
contig65863|TGFBI|8	358
contig327898|SCAMP5|12	428
contig368882|SLC16A3|6	285
contig318025|TIPIN|11	244
contig207373|IP6K1|8	241
contig206815|LGALS4|12	302
contig322028|DSG1|11	280
contig106393|OGT|6	250
contig113819|PRRC2C|8	256
contig106569|MTMR14|11	305
contig828905|ZNF790|8	197
contig211155|ADH5|6	405
contig315461|BCL9|12	268
contig316346|SLC30A5|11	287
contig405412|TNN|6	261
contig207163|KCTD15|6	305
contig323021|C3|7	243
contig70824|POLR2A|6	445
contig452375|GFRA1|11	217
contig315214|SNX33|6	335
contig190367|ORMDL1|7	178
contig39946|HBZ|11	184
contig201444|FER1L6|9	238
contig317007|MESDC1|6	356
contig201945|TMTC3|11	286
contig205419|DUOXA2|6	326
contig205975|PISD|6	182
contig203520|HBG2|8	271
contig159875|FPGT|11	311
contig207901|KAT8|6	363
contig213096|EPB41|6	371
contig205125|DENND2C|11	303
contig317944|CDK5RAP3|11	280
contig317838|FNTA|11	314
contig92508|NMT2|11	338
contig92470|STK3|11	328
contig347614|PTPRF|11	292
contig328052|CDK5RAP2|11	219
contig315964|CLASP2|8	252
contig71398|6-Mar|1	399
contig365793|GYLTL1B|11	395
contig202197|GM2A|8	275
contig315204|UBIAD1|11	301
contig319577|POLD3|11	346
contig319082|RNF168|11	249
contig315915|HTT|6	211
Mex_NM_004728_Contig_1|DDX21|6	254
contig67311|EFEMP2|12	205
contig326927|SLC13A3|6	160
contig183233|RHBDD1|6	312
contig142281|C1orf212|6	328
contig317901|COMT|11	360
contig205203|ZFAND3|8	351
contig323180|TCTE1|9	257
contig319164|KBTBD10|9	250
contig323770|GPR22|8	392
contig316205|KCNK5|8	433
contig315298|FILIP1L|11	348
contig208599|ECD|8	243
contig316123|ST3GAL6|8	348
contig213511|TRIM16|8	219
contig95145|MMAB|6	443
contig344051|SRGN|11	200
contig323584|BNC2|12	203
contig324760|PRKAR2B|8	392
contig212353|CBLN1|11	231
contig211779|NACAD|11	277
contig316560|NRAP|8	241
contig315371|PRF1|12	303
contig194461|DNAJC4|11	286
contig391513|MAPK8IP1|8	295
contig83369|MFF|6	363
contig349442|FLT1|6	333
contig324279|ZNF658|11	256
contig322544|COL8A1|8	296
contig157853|USP45|7	242
contig319280|FARP1|7	280
contig320192|C12orf45|11	361
contig318355|TSHZ2|11	283
contig189101|CAPN7|6	227
contig232429|S100A1|11	450
contig320313|KIAA1432|6	242
contig184479|ZC4H2|7	374
contig321954|PDHA1|3	336
contig314275|ESYT1|11	168
contig145445|PMP22|8	161
contig106553|SDF4|11	303
contig105650|ACO1|6	322
contig461512|SLC6A6|6	158
contig31418|CAPN2|9	258
contig426455|GAN|9	249
contig314282|PRPF8|8	283
contig319447|TIPARP|11	195
contig603711|ASIC5|11	303
contig108497|PPIG|8	152
contig87848|FAIM|6	230
contig205294|MTRF1|11	415
contig318914|MPEG1|12	410
contig158174|TTC33|6	350
contig86927|FBLN1|6	347
contig211062|CPNE2|11	247
contig377842|SMOC1|9	245
contig358383|NR0B2|11	360
contig316030|CARD10|11	300
contig335774|PHF19|6	444
contig147810|MTG1|12	291
contig319439|FAM59A|11	352
contig216730|ALAS2|11	266
contig317083|CD82|6	382
contig160524|WBP2|6	248
contig317238|MKI67IP|8	340
contig111711|C3orf23|6	290
contig102622|MRPL27|8	195
contig330188|ACOT7|7	221
contig146495|UBE2L3|6	300
contig317935|CXADR|8	289
contig84155|RLF|12	346
contig133979|ZFYVE21|11	377
contig73289|TPRKB|8	323
contig79876|ZNF664-FAM101A|6	329
contig330347|IRX2|6	377
contig321527|ASNS|11	247
contig235768|TSPAN32|8	358
contig134291|CRYZL1|8	252
contig314641|TSPYL4|6	253
contig366861|GATSL2|6	377
contig166705|KHK|6	323
